# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
0 0 0 0 0 0 0
2000 2.86525e+10 2.14377e+11 1.55316e+11 1.65509e+09 2.44334e+10 1.33701e+10
4000 4.23477e+10 1.43673e+11 1.0769e+11 4.11848e+10 1.82913e+10 3.30798e+10
6000 5.25156e+10 1.28338e+11 8.16813e+10 1.16878e+11 1.41648e+10 1.23636e+11
8000 5.64346e+10 1.08221e+11 1.15703e+11 1.24031e+11 1.13508e+10 1.27936e+11
10000 4.83869e+10 1.21175e+11 1.06818e+11 1.35134e+11 1.98034e+10 1.12473e+11
12000 4.17829e+10 1.23597e+11 1.10827e+11 1.15829e+11 2.12739e+10 1.00679e+11
14000 4.36508e+10 1.12605e+11 1.12004e+11 1.07742e+11 1.89172e+10 9.75693e+10
16000 7.79962e+10 1.46588e+11 1.12743e+11 1.03589e+11 2.11101e+10 8.72523e+10
18000 7.77525e+10 1.48447e+11 1.02249e+11 9.52647e+10 1.91388e+10 7.96347e+10
20000 7.28928e+10 1.39269e+11 9.29978e+10 8.67429e+10 1.83732e+10 7.27732e+10
22000 6.96708e+10 1.39178e+11 8.74449e+10 8.48149e+10 1.72525e+10 7.53697e+10
24000 6.44449e+10 1.29461e+11 8.08277e+10 8.52712e+10 1.63192e+10 8.02623e+10
26000 6.22277e+10 1.35798e+11 8.53399e+10 9.32898e+10 1.62418e+10 8.18899e+10
28000 6.42486e+10 1.26769e+11 8.12855e+10 1.00007e+11 1.83222e+10 7.97367e+10
30000 8.45624e+10 1.27565e+11 1.11983e+11 9.38791e+10 1.71888e+10 7.49626e+10
32000 8.82502e+10 1.28209e+11 1.26088e+11 1.5344e+11 3.84579e+10 8.1757e+10
34000 8.33477e+10 1.21374e+11 1.20077e+11 1.47297e+11 3.63688e+10 8.03155e+10
36000 7.89612e+10 1.18074e+11 1.19176e+11 1.40516e+11 6.16845e+10 9.4003e+10
38000 7.90907e+10 1.13696e+11 1.14555e+11 1.45964e+11 8.42493e+10 9.16518e+10
40000 9.30785e+10 1.1001e+11 1.14244e+11 1.39354e+11 8.10275e+10 8.94555e+10
42000 9.08893e+10 1.07517e+11 1.09533e+11 1.33302e+11 8.02662e+10 9.0412e+10
44000 1.1722e+11 1.04214e+11 1.14646e+11 1.28839e+11 8.73891e+10 9.09062e+10
46000 1.167e+11 9.99267e+10 1.10903e+11 1.23884e+11 8.40983e+10 8.7121e+10
48000 1.2865e+11 1.01596e+11 1.06776e+11 1.21747e+11 8.5792e+10 8.39611e+10
50000 1.35182e+11 1.03892e+11 1.02901e+11 1.39674e+11 1.02213e+11 8.08305e+10
52000 1.70628e+11 1.01e+11 9.9352e+10 1.34574e+11 9.9324e+10 7.93225e+10
54000 1.74065e+11 9.82268e+10 9.65398e+10 1.35041e+11 9.66805e+10 8.70318e+10
56000 1.68078e+11 1.10449e+11 9.33942e+10 1.40822e+11 9.36071e+10 9.80257e+10
58000 1.7645e+11 1.11e+11 9.09705e+10 1.39322e+11 9.05726e+10 9.90845e+10
60000 1.88167e+11 1.07428e+11 9.24819e+10 1.35077e+11 8.76549e+10 9.60783e+10
62000 1.82306e+11 1.04242e+11 9.23543e+10 1.32181e+11 8.50951e+10 9.36054e+10
64000 1.79808e+11 1.01677e+11 9.52994e+10 1.30308e+11 8.38553e+10 9.08608e+10
66000 1.7452e+11 1.02985e+11 9.33674e+10 1.31161e+11 8.77993e+10 8.83234e+10
68000 1.73155e+11 1.00585e+11 9.28999e+10 1.31975e+11 8.6368e+10 9.58719e+10
70000 1.78793e+11 1.00259e+11 9.03229e+10 1.35167e+11 8.58527e+10 9.47621e+10
72000 1.74065e+11 1.04993e+11 8.86709e+10 1.35229e+11 8.66559e+10 9.22266e+10
74000 1.72587e+11 1.1407e+11 8.72563e+10 1.32718e+11 8.47287e+10 9.24182e+10
76000 1.71644e+11 1.15859e+11 8.64141e+10 1.3525e+11 8.39776e+10 9.15956e+10
78000 1.67475e+11 1.15059e+11 8.85222e+10 1.33266e+11 8.23882e+10 8.95247e+10
80000 1.64748e+11 1.12573e+11 8.78226e+10 1.35329e+11 8.04319e+10 9.37693e+10
82000 1.61077e+11 1.14173e+11 8.57451e+10 1.32129e+11 8.26419e+10 9.50804e+10
84000 1.57746e+11 1.11635e+11 8.38075e+10 1.29826e+11 8.07224e+10 9.3556e+10
86000 1.58392e+11 1.10527e+11 8.19702e+10 1.27117e+11 8.05217e+10 9.20497e+10
88000 1.54985e+11 1.10945e+11 8.14352e+10 1.24458e+11 7.95814e+10 9.17694e+10
90000 1.52427e+11 1.09255e+11 7.98799e+10 1.24681e+11 7.79099e+10 9.19332e+10
92000 1.55763e+11 1.06982e+11 8.03381e+10 1.2392e+11 7.66285e+10 9.39327e+10
94000 1.53178e+11 1.08468e+11 7.88102e+10 1.25889e+11 7.5034e+10 9.63444e+10
96000 1.50468e+11 1.15495e+11 7.73232e+10 1.32827e+11 7.57133e+10 9.69273e+10
98000 1.47462e+11 1.13349e+11 7.57934e+10 1.31531e+11 7.42648e+10 9.58168e+10
100000 1.45325e+11 1.14801e+11 7.44634e+10 1.28994e+11 7.28195e+10 9.39478e+10
102000 1.44402e+11 1.12973e+11 7.4325e+10 1.27106e+11 7.53568e+10 9.36164e+10
104000 1.42058e+11 1.10959e+11 7.78494e+10 1.26097e+11 7.46391e+10 9.19654e+10
106000 1.40075e+11 1.09613e+11 8.45455e+10 1.23839e+11 7.40085e+10 9.06092e+10
108000 1.40376e+11 1.1257e+11 8.38656e+10 1.23608e+11 7.27023e+10 9.15866e+10
110000 1.41292e+11 1.11508e+11 8.52052e+10 1.247e+11 7.18984e+10 9.11904e+10
112000 1.44457e+11 1.11036e+11 8.39634e+10 1.22537e+11 7.29659e+10 9.14638e+10
114000 1.43346e+11 1.09357e+11 8.63528e+10 1.20971e+11 7.24009e+10 9.23577e+10
116000 1.41285e+11 1.08276e+11 8.52176e+10 1.18922e+11 7.20601e+10 9.16076e+10
118000 1.40095e+11 1.0742e+11 8.58316e+10 1.19162e+11 7.60887e+10 9.07151e+10
120000 1.38091e+11 1.05663e+11 9.14732e+10 1.1858e+11 7.51466e+10 8.9611e+10
122000 1.3815e+11 1.09029e+11 9.24894e+10 1.17425e+11 7.78384e+10 8.93873e+10
124000 1.36342e+11 1.12116e+11 9.12322e+10 1.16503e+11 7.68883e+10 8.81587e+10
126000 1.34837e+11 1.11277e+11 9.013e+10 1.1589e+11 7.60177e+10 8.70553e+10
128000 1.35007e+11 1.12277e+11 9.49284e+10 1.1901e+11 7.54495e+10 8.7786e+10
130000 1.33048e+11 1.10663e+11 9.35391e+10 1.23947e+11 7.57398e+10 8.84131e+10
132000 1.31121e+11 1.09035e+11 9.4177e+10 1.23124e+11 7.53232e+10 8.71219e+10
134000 1.34114e+11 1.07497e+11 9.46901e+10 1.22815e+11 7.42311e+10 8.76641e+10
