# Time-averaged data for fix fixmsd
# TimeStep c_msd[4]
2000 2.2903
4000 4.79475
6000 6.38256
8000 7.55487
10000 8.2376
12000 9.30291
14000 10.2485
16000 11.6246
18000 12.5209
20000 13.2775
22000 14.0445
24000 14.5592
26000 15.6013
28000 16.2984
30000 16.9315
32000 17.641
34000 18.4798
36000 19.2562
38000 19.6992
40000 20.5533
42000 21.0854
44000 21.7783
46000 22.4209
48000 23.0956
50000 23.8437
52000 24.5013
54000 25.1883
56000 25.5071
58000 26.2005
60000 26.8877
62000 27.5424
64000 28.5302
66000 29.0669
68000 29.5129
70000 29.8053
72000 30.7053
74000 31.2948
76000 31.8919
78000 32.5491
80000 32.9466
82000 33.9965
84000 34.4984
86000 35.1924
88000 36.1736
90000 36.5219
92000 37.2533
94000 38.0196
96000 38.5608
98000 38.8868
100000 39.1857
102000 39.6091
104000 40.188
106000 41.4902
108000 42.1081
110000 42.568
112000 43.2534
114000 43.9827
116000 44.9569
118000 45.661
120000 46.4895
122000 47.4574
124000 47.9834
126000 49.4622
128000 49.9651
130000 51.0509
132000 51.0207
134000 51.6936
136000 51.8751
138000 52.754
140000 53.8144
142000 54.1598
144000 54.7034
146000 54.9059
148000 55.9707
150000 56.5969
152000 57.4054
154000 57.8344
156000 58.654
158000 58.4763
160000 59.2795
162000 59.7667
164000 60.4038
166000 61.0678
168000 61.5966
170000 62.3277
172000 63.4944
174000 63.884
176000 64.0222
178000 64.4134
180000 65.2894
182000 66.3484
184000 67.3095
186000 68.5025
188000 69.0296
190000 70.5223
192000 71.6622
194000 72.0783
196000 72.5198
198000 73.0347
200000 73.3327
202000 73.8472
204000 75.374
206000 76.299
208000 77.0707
210000 77.7832
212000 78.4559
214000 79.0447
216000 79.8199
218000 80.3095
220000 81.0986
222000 81.5654
224000 82.2066
226000 82.5293
228000 83.3999
230000 84.2401
232000 84.6686
234000 85.7656
236000 87.0755
238000 88.212
240000 88.0421
242000 88.1987
244000 88.3858
246000 88.8413
248000 89.2173
250000 89.6444
252000 89.7977
254000 90.6995
256000 91.506
258000 92.1225
260000 92.5081
262000 93.8943
264000 94.5015
266000 95.4995
268000 96.4323
270000 97.7974
272000 97.5882
274000 97.981
276000 99.0265
278000 100.55
280000 101.155
282000 101.79
284000 102.933
286000 103.639
288000 103.493
290000 104.646
292000 105.94
294000 107.002
296000 107.62
298000 107.353
300000 108.205
302000 109.225
304000 110.262
306000 111.855
308000 112.309
310000 111.71
312000 112.532
314000 112.389
316000 112.284
318000 112.43
320000 113.209
322000 114.78
324000 114.539
326000 115.785
328000 117.09
330000 119.036
332000 118.985
334000 119.404
336000 121.574
338000 122.832
340000 123.439
342000 123.906
344000 124.76
346000 126.463
348000 126.189
350000 128.717
352000 128.945
354000 130.478
356000 131.363
358000 132.219
360000 133.125
362000 134.235
364000 136.61
366000 138.533
368000 139.978
370000 140.877
372000 140.05
374000 141.056
376000 142.578
378000 145.152
380000 145.904
382000 147.884
384000 148.454
386000 149.138
388000 150.37
390000 151.526
392000 152.421
394000 150.617
396000 154.389
398000 153.801
400000 153.022
402000 155.062
404000 155.962
406000 155.143
408000 155.605
410000 156.291
412000 155.54
414000 155.804
416000 157.441
418000 158.043
420000 159.6
422000 160.641
424000 160.884
426000 161.282
428000 163.048
430000 163.855
432000 163.662
434000 163.238
436000 163.933
438000 164.331
440000 166.44
442000 166.785
444000 168.001
446000 167.451
448000 167.918
450000 167.899
452000 170.638
454000 169.906
456000 169.428
458000 169.816
460000 170.023
462000 170.134
464000 169.477
466000 171.191
468000 171.668
470000 172.116
472000 173.495
474000 175.708
476000 178.525
478000 179.037
480000 182.957
