# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
0 0 0 0 0 0 0
2000 7.84106e+10 1.84927e+09 5.85621e+10 2.30283e+10 1.27231e+10 1.51742e+09
4000 9.15805e+10 2.50369e+09 9.06423e+10 1.89711e+11 1.75333e+10 2.63874e+11
6000 7.91901e+10 1.88364e+09 7.82282e+10 1.95506e+11 1.32257e+10 2.55218e+11
8000 6.83228e+10 2.41744e+10 6.63312e+10 2.42988e+11 6.71791e+10 2.0735e+11
10000 1.85279e+11 2.62007e+10 5.60527e+10 2.25515e+11 7.05754e+10 1.73749e+11
12000 1.8309e+11 2.24984e+10 4.80591e+10 2.32577e+11 9.16146e+10 1.49401e+11
14000 1.62566e+11 2.7652e+10 5.63144e+10 2.25384e+11 8.0269e+10 1.55761e+11
16000 1.46349e+11 2.50074e+10 9.80017e+10 2.01191e+11 8.09031e+10 1.4316e+11
18000 1.59415e+11 2.46997e+10 1.68226e+11 1.94257e+11 8.56306e+10 1.28846e+11
20000 1.47905e+11 2.29507e+10 1.55969e+11 2.11494e+11 7.78778e+10 1.54167e+11
22000 1.40781e+11 2.24895e+10 1.44694e+11 2.21987e+11 7.14043e+10 1.70809e+11
24000 1.3289e+11 3.06279e+10 1.36613e+11 2.33714e+11 7.0625e+10 2.14489e+11
26000 1.23461e+11 3.28929e+10 1.28778e+11 2.17183e+11 6.56001e+10 1.99465e+11
28000 1.18329e+11 6.6065e+10 1.26535e+11 2.06096e+11 6.49591e+10 1.86175e+11
30000 1.11391e+11 7.80014e+10 1.18626e+11 1.93605e+11 6.30186e+10 1.75231e+11
32000 1.07378e+11 8.53552e+10 1.12747e+11 1.83058e+11 6.05458e+10 1.69037e+11
34000 1.15836e+11 9.80003e+10 1.06868e+11 1.73906e+11 5.76019e+10 1.59777e+11
36000 1.11676e+11 9.40143e+10 1.01505e+11 1.65101e+11 5.78615e+10 1.57148e+11
38000 1.17754e+11 8.96317e+10 1.088e+11 1.6086e+11 5.64089e+10 1.59554e+11
40000 1.17072e+11 8.63526e+10 1.12012e+11 1.55422e+11 5.41499e+10 1.52657e+11
42000 1.11863e+11 8.24374e+10 1.07722e+11 1.49028e+11 5.26419e+10 1.45743e+11
44000 1.07138e+11 8.37421e+10 1.03487e+11 1.44279e+11 6.08631e+10 1.60177e+11
46000 1.02908e+11 8.05515e+10 1.12857e+11 1.39223e+11 6.69549e+10 1.57344e+11
48000 1.07366e+11 7.78166e+10 1.08996e+11 1.34881e+11 6.49258e+10 1.51141e+11
50000 1.26876e+11 9.16812e+10 1.23405e+11 1.31494e+11 7.03743e+10 1.62639e+11
52000 1.22495e+11 9.18888e+10 1.32596e+11 1.27745e+11 8.2656e+10 1.64454e+11
54000 1.20461e+11 8.94654e+10 1.31382e+11 1.23718e+11 8.2662e+10 1.64591e+11
56000 1.16314e+11 8.90639e+10 1.2791e+11 1.20164e+11 7.98767e+10 1.60123e+11
58000 1.12584e+11 9.51937e+10 1.23733e+11 1.1714e+11 7.72143e+10 1.55789e+11
60000 1.0952e+11 9.32732e+10 1.21364e+11 1.13508e+11 7.51317e+10 1.50829e+11
62000 1.06809e+11 9.86838e+10 1.18273e+11 1.10286e+11 7.33562e+10 1.4615e+11
64000 1.04083e+11 9.83185e+10 1.15951e+11 1.06944e+11 7.17022e+10 1.42334e+11
66000 1.01063e+11 9.61425e+10 1.1374e+11 1.08841e+11 7.81532e+10 1.3861e+11
68000 9.91369e+10 9.39447e+10 1.11337e+11 1.06606e+11 7.89234e+10 1.41771e+11
70000 9.64956e+10 9.2311e+10 1.10586e+11 1.07689e+11 8.29975e+10 1.58212e+11
72000 9.47141e+10 9.15866e+10 1.07597e+11 1.10655e+11 8.08393e+10 1.58484e+11
74000 9.3537e+10 8.98343e+10 1.05249e+11 1.07846e+11 8.61656e+10 1.60116e+11
76000 9.29934e+10 8.82768e+10 1.02802e+11 1.1276e+11 8.39566e+10 1.63786e+11
78000 9.06687e+10 8.9357e+10 1.00259e+11 1.17446e+11 8.18634e+10 1.66786e+11
80000 8.87787e+10 8.72217e+10 1.01149e+11 1.23391e+11 7.99342e+10 1.73137e+11
82000 8.79346e+10 8.51509e+10 9.87791e+10 1.20507e+11 7.96379e+10 1.70089e+11
84000 8.58896e+10 8.52466e+10 1.00356e+11 1.18631e+11 7.7814e+10 1.66766e+11
86000 8.61136e+10 8.43093e+10 1.00843e+11 1.18808e+11 8.17016e+10 1.63442e+11
88000 8.81963e+10 8.26725e+10 9.86711e+10 1.16271e+11 8.22775e+10 1.61311e+11
90000 8.64361e+10 8.10732e+10 9.82857e+10 1.14552e+11 8.21278e+10 1.5795e+11
92000 8.48288e+10 8.1059e+10 9.62372e+10 1.13334e+11 8.04303e+10 1.56352e+11
94000 8.55058e+10 8.0309e+10 9.49933e+10 1.11024e+11 7.87592e+10 1.53181e+11
96000 8.62705e+10 8.02835e+10 9.39069e+10 1.09942e+11 7.71639e+10 1.51012e+11
98000 8.52012e+10 7.87305e+10 9.21663e+10 1.08345e+11 7.57655e+10 1.49328e+11
100000 8.39306e+10 7.73562e+10 9.72874e+10 1.08582e+11 7.63742e+10 1.46408e+11
102000 8.67232e+10 7.63502e+10 1.02507e+11 1.11567e+11 8.82626e+10 1.45559e+11
104000 9.04316e+10 7.49098e+10 1.04108e+11 1.1486e+11 9.40709e+10 1.42981e+11
106000 9.14049e+10 7.79872e+10 1.02249e+11 1.18874e+11 9.83971e+10 1.40334e+11
108000 9.07057e+10 7.66547e+10 1.1177e+11 1.18067e+11 9.87372e+10 1.37869e+11
110000 9.0428e+10 7.54278e+10 1.15722e+11 1.17484e+11 9.8829e+10 1.35423e+11
112000 8.97114e+10 7.41411e+10 1.13868e+11 1.15426e+11 1.00082e+11 1.35848e+11
114000 8.8441e+10 7.45183e+10 1.14316e+11 1.17497e+11 1.02072e+11 1.33514e+11
116000 9.01466e+10 7.32719e+10 1.20613e+11 1.16773e+11 1.00815e+11 1.31443e+11
118000 8.92211e+10 7.22739e+10 1.19969e+11 1.16176e+11 1.0481e+11 1.30743e+11
120000 8.84566e+10 7.19431e+10 1.21093e+11 1.14272e+11 1.14394e+11 1.39758e+11
122000 8.92814e+10 7.10776e+10 1.19185e+11 1.12526e+11 1.20269e+11 1.43586e+11
124000 8.79071e+10 7.26305e+10 1.17332e+11 1.10915e+11 1.18753e+11 1.4135e+11
126000 8.67809e+10 7.1532e+10 1.1627e+11 1.09283e+11 1.17661e+11 1.39452e+11
128000 9.24048e+10 7.04515e+10 1.17318e+11 1.08517e+11 1.19031e+11 1.37989e+11
130000 9.23496e+10 7.00864e+10 1.18675e+11 1.07238e+11 1.17337e+11 1.35973e+11
132000 9.11908e+10 6.9042e+10 1.16981e+11 1.09806e+11 1.18381e+11 1.34081e+11
134000 9.00831e+10 6.95397e+10 1.15261e+11 1.08287e+11 1.19593e+11 1.34093e+11
136000 8.87853e+10 7.19544e+10 1.1379e+11 1.06739e+11 1.19263e+11 1.33915e+11
138000 8.87357e+10 7.15047e+10 1.14148e+11 1.05282e+11 1.18047e+11 1.32921e+11
140000 8.76902e+10 7.31321e+10 1.12547e+11 1.05001e+11 1.19644e+11 1.31551e+11
142000 8.68273e+10 7.24341e+10 1.11218e+11 1.05282e+11 1.18067e+11 1.30782e+11
