# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
2000 -99.0016 15.2039 85.5585 61.952 -46.0491 -15.903
4000 -85.8488 -15.4364 98.3624 208.782 47.569 -256.35
6000 -51.2462 -1.21238 50.6124 133.194 5.02403 -138.218
8000 39.4128 -84.164 34.2267 189.938 -153.567 -36.3711
10000 -219.383 47.6526 -17.0658 107.296 -85.4191 -21.8769
12000 -103.064 4.218 2.47176 151.368 -134.737 -16.6311
14000 34.3621 63.1106 84.4473 120.774 8.41572 -129.19
16000 -32.2266 15.5123 164.222 -25.2399 84.6445 -59.4046
18000 131.58 37.0225 223.641 -104.821 103.351 1.47021
20000 45.2757 18.474 45.6849 -178.854 -5.39675 184.251
22000 62.4598 32.9929 -35.943 -167.683 -4.03974 171.722
24000 48.8601 89.5434 49.7756 -176.644 -71.4576 248.102
26000 -7.43334 62.4189 -41.0245 -13.8013 -4.79034 18.5917
28000 53.8983 182.084 -77.1062 65.1105 -68.3045 3.194
30000 21.3857 126.75 0.0279289 22.7952 -53.1591 30.3639
32000 51.9511 112.644 34.1667 -34.5292 -41.815 76.3442
34000 127.382 139.859 20.7959 39.0791 -25.091 -13.9881
36000 -47.9519 -37.305 17.6512 -23.483 -72.1883 95.6713
38000 -120.735 19.9387 -124.345 -81.7913 -48.9979 130.789
40000 -80.4087 -36.0302 104.96 -62.3524 27.3408 35.0116
42000 -12.396 3.68897 33.1876 35.0648 -41.8064 6.74163
44000 -14.1484 -83.8321 25.4066 -57.597 -141.93 199.527
46000 18.7316 -21.167 143.256 43.7175 -131.36 87.6424
48000 -115.745 -27.5903 -31.9454 50.5668 -36.7742 -13.7926
50000 -195.995 -165.51 -173.859 62.458 131.208 -193.666
52000 -23.1796 -77.9765 -152.394 -50.2227 183.026 -132.803
54000 64.0053 38.7578 -78.496 35.3443 83.0775 -118.422
56000 3.46494 69.7414 -43.7979 41.4869 12.5451 -54.0321
58000 -16.6358 130.613 -12.8039 -49.53 -0.553002 50.083
60000 -33.168 -47.2096 -56.0543 -19.4963 32.473 -12.9767
62000 37.7125 -129.038 -37.4651 -29.4098 39.0679 -9.65816
64000 -32.4491 73.5826 51.022 1.47249 39.5562 -41.0287
66000 9.36992 38.9989 50.4824 -119.52 155.733 -36.2129
68000 45.8595 34.6585 -43.0385 50.5216 93.5916 -144.113
70000 15.9129 46.8571 -72.577 110.15 137.11 -247.261
72000 43.7194 -63.9861 -0.479698 134.603 -16.1864 -118.417
74000 55.8911 -39.5293 33.8884 -18.072 153.634 -135.562
76000 67.2392 42.6401 24.7936 157.984 0.981693 -158.966
78000 -0.505152 90.6528 8.10264 158.163 -4.37857 -153.784
80000 28.7036 10.6356 92.4596 173.492 15.18 -188.672
82000 57.7299 -3.92554 9.99047 -13.671 74.9952 -61.3242
84000 0.352903 74.6929 102.035 -57.6267 10.0316 47.5952
86000 -77.3562 52.4456 87.2466 -102.65 144.011 -41.3609
88000 -106.017 -25.8014 13.9391 -19.6682 94.7004 -75.0322
90000 -21.2557 23.8564 -71.1254 55.6652 -79.2623 23.5971
92000 26.0907 -70.8889 -11.2015 69.1043 13.9799 -83.0842
94000 85.6322 53.0669 -47.7825 14.333 4.27049 -18.6035
96000 87.6691 70.2939 -51.0886 -69.5302 7.00932 62.5209
98000 45.2818 -12.8399 20.7286 -50.0493 -24.5646 74.6139
100000 35.7065 23.234 -148.607 100.178 -94.3442 -5.83343
102000 119.673 39.5667 -151.798 148.266 -240.585 92.3188
104000 133.057 0.740679 -108.226 154.412 -181.683 27.271
106000 94.5358 122.751 15.158 166.237 -165.249 -0.988255
108000 57.5262 17.1441 197.789 78.7932 -98.7859 19.9927
110000 -68.5359 22.2828 -144.277 84.3748 -93.0398 8.66495
112000 55.6649 11.4149 -25.0904 3.76305 -119.106 115.343
114000 -31.6539 77.4686 -93.4893 140.1 -134.009 -6.09064
116000 -108.705 -7.81948 -174.258 78.9545 -48.2258 -30.7287
118000 46.5158 -28.9325 71.5638 82.1167 -168.463 86.3463
120000 51.5903 -57.0622 108.556 1.53396 -239.692 238.158
122000 93.4067 -33.7978 -13.16 22.4422 -199.708 177.265
124000 12.991 102.747 -12.5074 30.3471 -45.4634 15.1163
126000 -31.4517 12.0662 -55.5316 23.1284 -63.796 40.6675
128000 -168.14 8.99573 107.346 70.4196 -131.251 60.8313
130000 -74.4819 53.8287 113.715 -44.7962 24.5547 20.2415
132000 30.3249 -2.63279 17.9934 -152.567 124.925 27.6412
134000 31.4854 -80.1877 1.75397 -23.3271 129.36 -106.032
136000 -5.79519 -121.489 -29.2753 10.9351 89.8169 -100.752
138000 -73.0225 -50.2956 -93.157 19.8791 53.3377 -73.2168
140000 -30.1085 -108.125 -5.71805 84.3468 -138.886 54.539
142000 -39.9678 37.8079 32.4017 102.156 -22.4715 -79.6841
144000 68.4245 -15.5491 -36.5945 162.903 -20.8486 -142.054
146000 47.7897 10.9044 8.17434 205.409 -18.3227 -187.086
148000 33.0446 56.0734 -36.0932 71.1121 -47.1308 -23.9813
150000 -96.3851 -5.00714 46.083 95.5508 22.91 -118.461
152000 -17.9727 81.6074 55.1014 6.58272 91.1601 -97.7428
154000 41.8859 45.021 47.3494 47.0238 -14.9145 -32.1093
156000 154.815 27.7448 4.31501 -51.8237 113.213 -61.3893
158000 151.475 51.5753 43.8082 -83.0229 77.8534 5.1695
160000 29.6155 0.777241 -24.4588 32.5412 -45.2809 12.7397
162000 -37.9693 -65.8111 -96.6623 -119.826 104.517 15.3088
164000 -23.9704 -6.05976 -111.15 -39.7914 -44.6446 84.436
166000 -149.571 -81.1976 25.1347 131.88 -79.1759 -52.7037
168000 -118.592 28.558 54.9348 146.254 -93.6463 -52.6073
