# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
2000 3.15738e-08 -3.23158e-08 3.99037e-10 -3.43008e-10
4000 4.50937e-08 5.84143e-08 -2.06813e-08 8.28267e-08
6000 -2.52749e-08 -3.71186e-08 -5.97082e-08 -1.22102e-07
8000 -7.50452e-09 -1.27118e-08 3.98406e-08 1.96242e-08
10000 -2.03802e-08 7.05793e-09 2.57302e-08 1.2408e-08
12000 6.65069e-09 -2.3636e-08 7.87178e-09 -9.1135e-09
14000 9.77424e-09 2.65358e-08 -3.52506e-08 1.05945e-09
16000 3.42525e-08 7.0659e-09 -2.13742e-08 1.99442e-08
18000 -7.45364e-08 -9.08251e-09 8.05843e-09 -7.55605e-08
20000 6.5743e-08 -2.31824e-08 -7.1541e-09 3.54065e-08
22000 -3.60528e-08 1.55129e-08 -4.88903e-08 -6.94301e-08
24000 -1.29579e-08 -2.01493e-08 5.94278e-10 -3.25129e-08
26000 2.00535e-08 1.22525e-08 2.37778e-09 3.46838e-08
28000 -1.56801e-08 -1.52532e-09 4.45627e-09 -1.27491e-08
30000 6.10737e-09 -1.23447e-08 -5.39452e-09 -1.16318e-08
32000 1.82533e-08 -1.44747e-09 4.40675e-08 6.08733e-08
34000 1.13178e-08 4.18059e-08 4.09884e-09 5.72225e-08
36000 -1.41619e-08 8.4953e-09 -1.54563e-08 -2.11229e-08
38000 -1.86998e-08 -5.74941e-09 2.58316e-08 1.38241e-09
40000 2.93329e-08 -4.05689e-08 1.81462e-08 6.91019e-09
42000 3.40635e-09 -6.70416e-09 1.42475e-08 1.09497e-08
44000 3.50009e-09 2.53025e-08 5.06591e-09 3.38685e-08
46000 1.08016e-08 1.19075e-08 8.9439e-09 3.1653e-08
48000 -1.17194e-08 6.07593e-09 -4.80093e-08 -5.36527e-08
50000 5.20135e-09 1.53558e-08 4.99804e-08 7.05375e-08
52000 -1.06435e-08 -5.34231e-09 -8.35197e-09 -2.43378e-08
54000 1.82874e-08 1.773e-09 1.34202e-08 3.34807e-08
56000 -1.55915e-08 -5.44479e-08 2.54184e-09 -6.74976e-08
58000 -2.78317e-08 -1.47097e-09 -4.99426e-09 -3.42969e-08
60000 3.45694e-08 -3.54825e-09 -1.70405e-08 1.39807e-08
62000 5.80736e-08 1.10149e-08 8.32371e-09 7.74123e-08
64000 1.19889e-09 -1.22557e-08 1.40874e-08 3.03057e-09
66000 -2.88541e-08 2.86719e-08 -5.75772e-08 -5.77594e-08
