# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
2000 59.8462 163.698 139.336 -16.6087 63.814 -47.2053
4000 66.0199 -11.9007 27.8822 100.102 -22.3739 -77.7278
6000 -72.0328 -71.7343 15.1139 -169.302 -12.1979 181.5
8000 -67.1335 -41.6474 -125.447 -112.784 2.8088 109.975
10000 -22.5673 -107.804 -62.4456 -126.046 71.9182 54.1277
12000 -11.6147 -92.9134 91.8153 -0.148979 50.0802 -49.9312
14000 59.5434 -47.2123 -86.6913 -65.2735 -14.2039 79.4774
16000 148.484 -161.719 86.1154 -76.5783 56.7543 19.824
18000 68.72 -101.604 22.081 -41.1738 10.7914 30.3824
20000 38.9676 -54.4797 5.51529 11.2715 -29.8846 18.6132
22000 46.2524 92.9324 40.5913 -72.8052 -20.2595 93.0646
24000 10.4131 28.3355 9.42747 -86.9615 -20.6538 107.615
26000 -45.6914 116.776 94.8677 -128.3 35.6314 92.6686
28000 -76.0517 4.70514 -39.1501 -127.166 62.8814 64.2849
30000 -155.979 -93.3799 189.149 12.7571 3.95488 -16.7119
32000 -95.9345 -93.0405 148.277 303.647 -177.661 -125.986
34000 0.508112 17.9934 33.4309 59.7628 8.43356 -68.1963
36000 -0.593863 -60.5621 80.2217 -39.2205 207.639 -168.419
38000 71.3927 43.6633 40.8844 -144.187 206.757 -62.57
40000 152.651 47.6311 82.1675 24.4134 37.1825 -61.5959
42000 52.9825 58.7185 -25.7399 -22.7699 -73.1894 95.9594
44000 208.64 44.3987 -119.148 50.5265 -142.622 92.0953
46000 80.9141 -9.07361 -39.3829 -28.7487 26.4728 2.27583
48000 161.136 94.0934 -21.9766 -76.6312 102.649 -26.0175
50000 136.582 -100.406 -19.423 -221.329 206.707 14.6214
52000 261.275 -40.1594 -21.0159 -12.8992 -44.9187 57.8179
54000 129.149 -38.1983 -35.8908 110.916 45.9231 -156.839
56000 5.24921 168.202 18.2301 158.823 25.0823 -183.905
58000 -161.87 89.0845 35.9541 89.357 14.6424 -103.999
60000 -183.658 -4.14716 -92.8111 -25.3863 3.22929 22.157
62000 6.12095 -18.4781 -74.33 -59.4523 21.8724 37.5799
64000 79.0048 -35.0048 108.841 -76.5774 60.6775 15.8999
66000 1.37016 95.5786 43.0213 -115.216 134.769 -19.5536
68000 -88.9995 -34.4335 69.3737 -115.343 -56.0538 171.396
70000 -153.326 -74.5135 -2.83549 143.439 -75.1752 -68.2642
72000 -15.5374 131.202 42.7185 107.025 -98.137 -8.88839
74000 85.8316 167.691 -46.7148 57.6183 33.4428 -91.0612
76000 92.1304 107.192 -58.3149 -138.878 67.9691 70.9085
78000 -17.466 72.3988 103.301 68.2553 -41.2344 -27.0209
80000 59.0045 28.6385 61.1556 -134.73 -13.4685 148.198
82000 -25.6592 105.997 5.95437 8.78783 -120.158 111.37
84000 -33.4269 17.7629 -12.321 -52.5475 2.94021 49.6072
86000 107.865 62.7025 13.6162 -29.7233 77.401 -47.6777
88000 17.7757 89.9009 60.1519 24.9363 56.4258 -81.3621
90000 -48.3089 45.5718 -24.8652 -105.951 14.9823 90.9683
92000 -139.016 -12.2868 -79.6153 -86.0801 -38.389 124.469
94000 -44.5018 105.559 20.909 -134.922 2.73187 132.19
96000 -35.6876 168.228 -19.2863 -197.034 95.0095 102.024
98000 3.39764 -22.6194 -7.21158 -75.2892 16.5493 58.7399
100000 -49.0196 -108.222 -22.3054 -13.2741 6.82211 6.45201
102000 77.9966 -35.1272 64.84 -50.6718 130.626 -79.9539
