# Time-averaged data for fix rhoAve
# TimeStep v_rho
2000 0.861013
4000 0.911068
6000 0.934405
8000 0.947804
10000 0.957245
12000 0.964471
14000 0.969672
16000 0.972884
18000 0.975668
20000 0.978817
22000 0.980154
24000 0.982894
26000 0.985153
28000 0.98606
30000 0.986973
32000 0.985638
34000 0.984275
36000 0.981784
38000 0.979996
40000 0.9812
42000 0.984011
44000 0.982949
46000 0.982616
48000 0.981752
50000 0.98399
52000 0.985295
54000 0.988354
56000 0.987053
58000 0.985902
60000 0.984244
62000 0.984126
64000 0.986731
66000 0.986654
68000 0.984297
70000 0.98382
72000 0.984764
74000 0.984094
76000 0.983823
78000 0.986098
80000 0.986558
82000 0.98735
84000 0.986232
86000 0.987609
88000 0.984134
90000 0.983592
92000 0.983291
94000 0.984867
96000 0.985034
98000 0.985056
100000 0.98426
102000 0.985711
104000 0.986742
106000 0.988295
108000 0.987087
110000 0.986666
112000 0.986077
114000 0.985175
116000 0.983337
118000 0.985549
120000 0.987534
122000 0.987164
124000 0.985894
126000 0.985222
128000 0.982327
130000 0.979895
132000 0.981049
134000 0.982538
136000 0.982667
138000 0.985058
140000 0.985423
142000 0.984639
144000 0.982842
146000 0.983599
148000 0.981915
150000 0.981693
152000 0.981454
154000 0.982036
156000 0.981765
158000 0.981922
160000 0.984983
162000 0.986399
164000 0.980988
166000 0.980657
168000 0.983103
170000 0.984086
172000 0.981462
174000 0.980161
176000 0.982071
178000 0.985182
180000 0.983373
182000 0.984387
184000 0.979916
186000 0.978848
188000 0.981963
190000 0.982342
192000 0.982477
194000 0.983572
196000 0.983147
198000 0.981432
200000 0.98249
202000 0.979253
204000 0.978054
206000 0.977445
208000 0.980815
210000 0.982146
212000 0.979519
214000 0.977716
216000 0.977457
218000 0.977133
220000 0.977304
222000 0.97802
224000 0.978403
226000 0.979173
228000 0.980621
230000 0.979965
232000 0.976943
234000 0.976065
236000 0.976573
238000 0.975299
240000 0.975541
242000 0.975917
244000 0.977533
246000 0.979207
248000 0.977085
250000 0.974723
252000 0.975837
254000 0.976416
256000 0.976904
258000 0.977414
260000 0.977686
262000 0.977703
264000 0.978431
266000 0.979076
268000 0.982361
270000 0.982254
272000 0.983842
274000 0.984617
276000 0.985637
278000 0.983523
280000 0.982682
282000 0.983158
284000 0.982498
286000 0.98423
288000 0.984911
290000 0.986306
292000 0.981722
294000 0.980116
296000 0.980267
298000 0.981024
300000 0.978894
302000 0.980636
304000 0.981716
306000 0.980775
308000 0.984176
310000 0.983632
312000 0.983084
314000 0.981543
316000 0.983247
318000 0.982772
320000 0.98277
322000 0.982155
324000 0.983253
326000 0.981974
328000 0.981709
330000 0.979967
332000 0.980153
334000 0.984671
336000 0.986354
338000 0.987356
340000 0.989004
342000 0.98653
344000 0.987102
346000 0.984616
348000 0.981218
350000 0.98138
352000 0.982548
354000 0.986009
356000 0.986636
358000 0.986013
360000 0.986166
362000 0.98596
364000 0.985373
366000 0.985112
368000 0.984187
370000 0.983961
372000 0.985865
374000 0.987772
376000 0.987659
378000 0.984825
380000 0.983331
382000 0.981867
384000 0.98009
386000 0.981646
388000 0.981371
390000 0.97825
392000 0.976597
394000 0.976753
396000 0.979437
398000 0.981506
400000 0.979074
402000 0.977545
404000 0.978385
406000 0.976884
408000 0.976409
410000 0.974501
412000 0.977237
414000 0.978022
416000 0.978368
418000 0.979232
420000 0.980301
422000 0.98182
