# Time-averaged data for fix stress
# TimeStep c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
2000 -2161.02 -2080.6 -2191.62 59.8462 163.698 139.336
4000 -709.682 -832.158 -887.512 66.0199 -11.9007 27.8822
6000 -594.101 -436.997 -243.299 -72.0328 -71.7343 15.1139
8000 -390.281 -274.688 -167.522 -67.1335 -41.6474 -125.447
10000 -315.587 -117.623 -135.413 -22.5673 -107.804 -62.4456
12000 -199.709 -149.479 -249.491 -11.6147 -92.9134 91.8153
14000 -113.379 -62.3097 31.3715 59.5434 -47.2123 -86.6913
16000 -158.619 -25.2863 -62.2166 148.484 -161.719 86.1154
18000 -123.259 -71.2939 -51.703 68.72 -101.604 22.081
20000 -56.4566 -97.6127 -49.1149 38.9676 -54.4797 5.51529
22000 -113.908 -61.3628 51.9613 46.2524 92.9324 40.5913
24000 -153.441 -87.1335 41.1356 10.4131 28.3355 9.42747
26000 -178.335 -14.4038 42.6334 -45.6914 116.776 94.8677
28000 -139.774 50.2738 51.6773 -76.0517 4.70514 -39.1501
30000 -5.00298 -13.8052 -34.472 -155.979 -93.3799 189.149
32000 336.658 -144.65 -92.9747 -95.9345 -93.0405 148.277
34000 155.896 104.567 27.9367 0.508112 17.9934 33.4309
36000 -8.409 238.451 -137.607 -0.593863 -60.5621 80.2217
38000 -120.146 230.797 -38.5294 71.3927 43.6633 40.8844
40000 -39.0847 -26.3156 -125.094 152.651 47.6311 82.1675
42000 -19.0018 -69.4213 99.7275 52.9825 58.7185 -25.7399
44000 47.6016 -145.547 89.1704 208.64 44.3987 -119.148
46000 -17.6232 37.5983 13.4013 80.9141 -9.07361 -39.3829
48000 -81.8419 97.4382 -31.2282 161.136 94.0934 -21.9766
50000 -264.097 163.94 -28.1463 136.582 -100.406 -19.423
52000 -76.9205 -108.94 -6.20346 261.275 -40.1594 -21.0159
54000 84.1191 19.1259 -183.637 129.149 -38.1983 -35.8908
56000 193.413 59.6721 -149.316 5.24921 168.202 18.2301
58000 129.103 54.388 -64.2539 -161.87 89.0845 35.9541
60000 8.57168 37.1873 56.115 -183.658 -4.14716 -92.8111
62000 -66.0604 15.2644 30.9719 6.12095 -18.4781 -74.33
64000 -169.99 -32.735 -77.5126 79.0048 -35.0048 108.841
66000 -51.414 198.571 44.2479 1.37016 95.5786 43.0213
68000 -85.3493 -26.0605 201.39 -88.9995 -34.4335 69.3737
70000 161.818 -56.7969 -49.8859 -153.326 -74.5135 -2.83549
72000 64.8577 -140.305 -51.0561 -15.5374 131.202 42.7185
74000 102.085 77.909 -46.5949 85.8316 167.691 -46.7148
76000 -170.975 35.8721 38.8115 92.1304 107.192 -58.3149
78000 3.1344 -106.355 -92.1418 -17.466 72.3988 103.301
80000 -110.798 10.463 172.13 59.0045 28.6385 61.1556
82000 -14.6787 -143.624 87.9033 -25.6592 105.997 5.95437
84000 -4.14835 51.3393 98.0063 -33.4269 17.7629 -12.321
86000 -101.236 5.88779 -119.191 107.865 62.7025 13.6162
88000 200.408 231.897 94.1094 17.7757 89.9009 60.1519
90000 -163.115 -42.1819 33.8041 -48.3089 45.5718 -24.8652
92000 -102.459 -54.7683 108.09 -139.016 -12.2868 -79.6153
94000 -158.165 -20.5111 108.947 -44.5018 105.559 20.909
96000 -187.009 105.034 112.049 -35.6876 168.228 -19.2863
98000 -86.5589 5.2796 47.4701 3.39764 -22.6194 -7.21158
100000 26.1997 46.2959 45.9258 -49.0196 -108.222 -22.3054
102000 -108.841 72.4565 -138.123 77.9966 -35.1272 64.84
104000 -122.992 11.1126 -22.0842 35.5091 -19.8004 127.75
106000 7.55159 -69.253 28.4138 46.7595 -48.9092 165.725
108000 141.921 59.1135 -64.0099 -98.946 -130.438 -54.2868
110000 157.716 -14.3929 -42.4065 -109.443 -57.601 -99.6507
112000 -10.2944 105.73 -93.7755 -141.796 -72.7254 -30.0212
114000 62.1034 68.5677 -98.589 -70.7175 -29.1709 -117.938
116000 13.2396 -55.4774 73.8509 -36.8584 53.3844 -34.801
118000 49.8603 -217.232 0.786828 -66.1113 -59.645 -87.3416
120000 62.6688 -60.2393 -64.9683 -33.3984 3.91859 163.929
122000 105.034 -99.5579 121.912 -94.1135 -140.169 98.2598
124000 75.2554 -33.7707 -26.6633 38.9227 -137.735 -28.8169
126000 114.605 -7.62376 -3.8511 50.0113 -60.3981 -35.9639
128000 234.043 14.011 -34.8089 95.5004 104.968 -158.513
130000 249.303 -32.0312 -46.9943 18.8864 18.9388 -14.2208
132000 -1.90683 -140.748 -90.1908 -15.6407 -10.024 -92.2892
134000 53.5849 -29.282 -140.324 144.627 16.6391 89.8159
136000 69.9276 56.9801 -5.03683 67.6225 31.6678 -21.7107
138000 22.4658 -154.353 -127.598 -42.6012 -12.6861 10.8369
140000 -38.0913 37.8205 67.0411 -169.746 33.6997 -2.2346
142000 -16.4668 -8.2702 140.782 -17.8948 35.9688 0.0271696
144000 -25.5882 -17.9616 120.762 -1.08537 2.69979 -130.369
146000 103.195 -97.1808 8.73682 16.3953 -79.8925 -6.00953
148000 34.0134 81.2442 -80.2997 99.1887 -118.653 20.5709
150000 92.0485 49.662 -44.0091 106.139 -102.509 15.9904
152000 -58.3883 2.31088 21.3378 -0.311526 -74.6927 42.1542
154000 -9.55734 -242.839 131.48 7.52468 -142.488 31.9107
156000 139.05 -163.09 221.515 -14.592 -130.103 -39.497
158000 -108.522 -223.913 89.9048 84.3457 -31.5175 -59.7955
160000 -0.305324 -160.849 -23.2858 91.3016 -9.36187 -61.9799
162000 -24.0891 206.698 -34.8756 171.652 21.6887 -17.6898
164000 194.447 55.4749 153.911 -4.15064 -20.6506 -11.6307
166000 24.1301 -185.131 -108.268 -35.2551 50.9116 -74.4693
168000 10.2147 -67.5663 -111.34 80.7463 -103.305 -29.7297
170000 -34.8619 -20.8707 185.032 47.8508 -63.7691 -81.695
172000 31.8017 61.8427 142.427 8.57098 7.56708 -61.0175
174000 -35.6048 32.2482 -118.059 76.881 -150.897 1.47897
176000 -165.32 15.2788 12.5576 42.5903 -130.538 -59.4774
178000 -16.6863 37.4542 -154.892 77.947 -40.4614 -55.8284
180000 34.3415 101.011 11.0601 -15.0243 -39.0723 25.5957
182000 -107.185 68.8396 148.109 -8.74371 -97.8156 -79.2717
184000 86.0737 119.936 69.9944 -4.87571 -48.5465 -82.2933
186000 -230.127 14.1521 -8.91217 23.9308 -100.544 -29.7602
188000 -66.3552 -49.4155 -27.871 149.078 -94.0399 9.71741
190000 89.6074 -45.065 67.4674 98.3225 68.8577 91.815
192000 7.28506 -132.293 -42.8365 129.289 6.83808 36.2665
194000 170.135 -120.367 62.1278 -4.06724 54.8063 42.0195
196000 145.823 -190.958 79.9616 -41.9633 125.78 86.0868
198000 173.402 -83.7112 -173.912 -8.18615 102.193 31.3
200000 127.345 63.4123 23.056 40.9748 89.0917 -19.603
202000 63.283 44.1213 46.6083 172.23 115.419 -120.685
204000 120.927 79.8681 -107.587 10.7333 70.3592 -56.1392
206000 162.639 -59.6609 -122.546 -11.3669 130.274 -24.3923
208000 -48.0884 -269.741 -131.637 -32.9921 64.5559 65.1106
210000 39.7959 2.61171 113.743 14.4835 -23.2545 109.628
212000 129.026 127.282 25.5697 -25.4219 14.0671 102.526
214000 5.04476 89.514 -87.882 -15.8831 -57.7218 21.4395
216000 -12.7961 52.4099 -10.6223 -49.9823 -6.78649 -42.2819
218000 65.489 -43.0308 45.4625 -71.8774 32.7103 -54.2592
220000 -118.181 -22.6008 26.2125 -109.622 -77.6207 -3.08113
222000 -7.04394 -69.9757 91.93 -53.0183 -92.1455 -34.6227
224000 -95.2789 -80.2353 102.337 -30.0273 -78.5175 -8.94691
226000 -73.4152 -76.7766 77.6814 4.01589 13.856 -111.893
228000 -59.0141 -16.2426 -51.6791 44.5753 -108.044 -79.9121
230000 -39.9953 169.978 127.262 -65.8742 -79.1694 46.7463
232000 -140.726 154.155 73.3044 -71.4147 -86.1029 85.4081
234000 12.0189 163.441 -93.9985 -57.5293 -10.4345 197.578
236000 -48.6192 -52.5003 84.6953 -40.8689 -79.7474 75.1882
238000 -31.2356 -185.724 263.822 -169.541 -34.5506 77.2167
240000 -93.1261 -123.882 243.973 -142.467 -1.59862 58.5969
242000 -188.01 16.9273 -12.2353 -39.0264 -14.452 151.005
244000 -185.126 -54.7414 144.09 -133.465 -107.589 69.1909
246000 83.1133 -17.2008 -60.7718 -66.8237 -121.734 -8.8732
248000 106.368 80.6309 71.1055 -75.4248 -55.3757 -8.86336
250000 32.3881 87.0588 -92.1914 -31.9828 -46.5449 29.2415
252000 -163.156 138.95 -116.545 -42.2525 6.61077 -96.7393
254000 27.178 78.7124 32.0532 -10.8786 37.7031 43.563
256000 -33.2015 -205.225 20.4901 -31.7502 66.2302 51.6376
258000 -60.3118 -135.289 202.712 2.79472 90.5887 61.1542
260000 -36.3709 13.9253 71.0501 2.45733 69.9286 111.822
