# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
2000 -2.08196e-08 -6.59188e-08 -1.40048e-07 -2.26786e-07
4000 1.71082e-08 5.25436e-09 8.5587e-08 1.0795e-07
6000 -6.73642e-09 -4.75381e-09 -2.91692e-08 -4.06595e-08
8000 6.26536e-08 2.61175e-09 1.12816e-08 7.6547e-08
10000 -1.7509e-08 -5.23569e-09 3.29653e-08 1.02206e-08
12000 4.71087e-08 3.1072e-08 -7.43074e-08 3.87327e-09
14000 -5.00097e-08 1.28053e-08 3.55997e-08 -1.60465e-09
16000 8.45352e-08 -1.21274e-09 -1.54252e-09 8.17799e-08
18000 -2.81711e-08 2.01671e-08 2.77475e-08 1.97435e-08
20000 1.90614e-08 -9.65678e-09 -3.07815e-08 -2.13769e-08
22000 -5.89771e-08 1.66063e-08 -1.29553e-08 -5.53261e-08
24000 2.55647e-08 -7.27317e-10 4.41539e-08 6.89912e-08
26000 8.12551e-08 -1.58057e-08 1.5776e-08 8.12254e-08
28000 -2.97022e-08 -1.10462e-09 1.76835e-09 -2.90385e-08
30000 -2.13083e-09 -1.30462e-08 -1.36105e-08 -2.87875e-08
32000 1.98037e-08 1.08729e-08 -5.23421e-08 -2.16655e-08
34000 -2.43165e-08 -7.43786e-08 1.13604e-08 -8.73346e-08
36000 8.88147e-09 4.04477e-08 1.0654e-08 5.99831e-08
38000 3.51282e-09 1.69643e-10 -5.92089e-08 -5.55264e-08
40000 -7.04612e-09 1.36807e-08 1.77508e-08 2.43854e-08
42000 -1.71339e-08 -5.76404e-08 2.10755e-08 -5.36987e-08
44000 2.12944e-09 1.07944e-08 -3.63078e-08 -2.33839e-08
46000 -1.26914e-08 -2.00681e-08 1.27221e-08 -2.00373e-08
48000 3.41372e-08 4.62271e-08 -5.18847e-08 2.84796e-08
50000 -1.20744e-08 -6.6728e-08 1.7128e-08 -6.16744e-08
52000 -5.72453e-10 -5.06087e-08 2.49865e-08 -2.61946e-08
54000 -9.22444e-09 9.64203e-09 -4.1972e-08 -4.15544e-08
56000 -1.56749e-08 1.36939e-09 3.82711e-08 2.39657e-08
58000 1.02393e-08 -1.5065e-08 -5.49159e-09 -1.03172e-08
60000 -7.3777e-09 -2.07332e-08 1.24408e-08 -1.56701e-08
62000 1.30343e-08 5.86731e-09 -1.5379e-08 3.5226e-09
64000 1.69498e-09 2.3245e-08 5.74216e-09 3.06822e-08
66000 9.48428e-09 -7.94846e-09 2.1305e-08 2.28409e-08
68000 -8.14741e-08 1.75184e-08 -1.12977e-08 -7.52534e-08
70000 5.15026e-09 -3.15435e-08 -5.34012e-10 -2.69272e-08
72000 4.87926e-09 1.5354e-08 -2.49878e-08 -4.75446e-09
74000 1.31775e-08 2.76446e-08 3.89188e-08 7.97409e-08
76000 3.55323e-08 -2.46578e-08 -1.0405e-08 4.69477e-10
78000 1.59712e-08 7.3953e-09 -5.69002e-09 1.76765e-08
80000 1.33658e-08 -1.80221e-08 5.69316e-08 5.22753e-08
82000 -6.15397e-09 4.35202e-08 2.24272e-08 5.97934e-08
84000 -2.45903e-09 -3.31351e-08 5.30659e-09 -3.02875e-08
86000 -6.79494e-09 -2.35713e-09 -5.10122e-08 -6.01642e-08
88000 3.56755e-09 1.0832e-08 -1.09628e-08 3.43676e-09
90000 1.13183e-08 5.21255e-08 3.86821e-09 6.7312e-08
92000 1.36283e-08 -2.08703e-08 -1.90661e-08 -2.63081e-08
