# Time-averaged data for fix fixmsd
# TimeStep c_msd[4]
2000 20240.7
4000 20238.7
6000 20240.6
8000 20235.1
10000 20236.6
12000 20238
14000 20237.8
16000 20238.7
18000 20237.3
20000 20241
22000 20239.3
24000 20235.7
26000 20233.3
28000 20233.8
30000 20228.2
32000 20232.7
34000 20222.3
36000 20228.2
38000 20232.4
40000 20231.9
42000 20229.6
44000 20229.4
46000 20227.9
48000 20234.8
50000 20242.5
52000 20244.5
54000 20240.5
56000 20245.3
58000 20241.9
60000 20244.8
62000 20245.6
64000 20246.4
66000 20245.7
68000 20249
70000 20245.2
72000 20249.2
74000 20243.2
76000 20243.7
78000 20249.1
80000 20253.1
82000 20256.3
84000 20257.8
86000 20261.7
88000 20259
90000 20261.3
92000 20260.1
94000 20266.6
96000 20261.8
98000 20258.2
100000 20257.9
102000 20251.4
104000 20251.2
106000 20252.3
108000 20256.3
110000 20259.5
112000 20257.7
114000 20256.9
116000 20260.2
118000 20255.5
120000 20259.6
122000 20254.9
124000 20258.8
126000 20260.2
128000 20261.2
130000 20260.7
132000 20261.1
134000 20263.5
136000 20262.4
138000 20266.2
140000 20265.8
142000 20264.3
144000 20267.8
146000 20268.6
148000 20269.2
150000 20272.3
152000 20269
154000 20270.5
156000 20272.1
158000 20272.8
160000 20274.8
162000 20270
164000 20273.2
166000 20274.3
168000 20281.2
170000 20287.4
172000 20294
174000 20292.1
176000 20288.6
178000 20285
180000 20284
182000 20284.7
184000 20285.6
186000 20276.5
188000 20274.9
190000 20276.3
192000 20277.7
194000 20276.7
196000 20273.2
198000 20271.5
200000 20272.7
202000 20277.2
204000 20278.8
206000 20275.8
208000 20280.2
210000 20277.3
212000 20279.5
214000 20288.4
216000 20288.5
218000 20285.1
220000 20282
222000 20283.5
224000 20284.4
226000 20284.3
228000 20289.6
230000 20291
232000 20290.1
234000 20290.8
236000 20287.2
238000 20288.4
240000 20291.2
242000 20289.4
244000 20289.9
246000 20293.8
248000 20296.7
250000 20301.9
252000 20302.8
254000 20302.9
256000 20303.5
258000 20303.5
260000 20298.6
262000 20300.7
264000 20308.7
266000 20306.9
268000 20304.7
270000 20303.9
272000 20305.9
274000 20304.3
276000 20296.7
278000 20293.5
280000 20298.1
282000 20297.7
284000 20296.9
286000 20291.5
288000 20290.3
290000 20288.8
292000 20291.6
294000 20293.2
296000 20295.9
298000 20307.7
300000 20304.5
302000 20307.7
304000 20308.6
306000 20311.5
308000 20321.4
310000 20319.6
312000 20323.2
314000 20322.9
316000 20321.1
318000 20322
320000 20317.8
322000 20320.3
324000 20323.1
326000 20327.7
328000 20326
330000 20321.8
332000 20322.6
334000 20320.4
336000 20322.6
338000 20320.6
340000 20320.7
342000 20319.7
344000 20318.6
346000 20319
348000 20318.7
350000 20321.3
352000 20326.1
354000 20331.3
356000 20329.8
358000 20329.6
360000 20330.1
362000 20327.9
364000 20335.3
366000 20326.9
368000 20326.6
370000 20322.8
372000 20325.4
374000 20327.6
376000 20327.7
378000 20324.9
380000 20324
382000 20329.4
384000 20332.1
386000 20335.2
388000 20332.7
390000 20335.2
392000 20333.7
394000 20331.7
396000 20334.9
398000 20334.8
400000 20334.1
402000 20330
404000 20336.7
406000 20336.8
408000 20342.7
410000 20338.6
412000 20339
414000 20343.2
416000 20346.4
418000 20345
420000 20350.1
422000 20354
424000 20360.8
426000 20367.2
428000 20368.3
430000 20371.3
432000 20373.9
434000 20380.8
436000 20382.2
438000 20380.1
440000 20382.7
442000 20382
444000 20386.6
446000 20390.4
448000 20389.4
450000 20392.8
452000 20391
454000 20396.6
456000 20399.6
458000 20391.1
460000 20389.2
462000 20388.6
464000 20389.4
466000 20390.5
468000 20387.7
470000 20391.9
472000 20390.1
474000 20384.4
476000 20391.2
478000 20394.6
480000 20396
482000 20392.6
484000 20391.9
486000 20393.1
488000 20394.5
490000 20393.2
492000 20389.5
494000 20389
496000 20388.9
498000 20385
500000 20389.1
502000 20389.4
504000 20387.5
506000 20389.3
508000 20390.4
510000 20390.9
512000 20390.8
514000 20388.4
516000 20387.7
518000 20390.3
520000 20390.1
522000 20390
524000 20391.7
526000 20397.3
528000 20398.9
530000 20398.9
532000 20404.8
534000 20405.2
536000 20406.4
538000 20409.6
540000 20404.3
542000 20408.6
544000 20413.2
546000 20414.1
548000 20412
550000 20414.1
552000 20423.2
554000 20422.7
556000 20420.9
558000 20424.7
560000 20422.8
562000 20422.7
564000 20425.2
566000 20432.3
568000 20438.3
570000 20439.9
572000 20441.4
574000 20437.8
576000 20439.3
578000 20436.8
580000 20442.3
582000 20436.8
584000 20437.4
586000 20435.5
588000 20439.1
590000 20442.4
592000 20450.7
594000 20452
596000 20449.8
598000 20453.6
600000 20459.5
602000 20460.2
604000 20463.8
606000 20470.8
608000 20471.5
610000 20475.8
612000 20478.9
614000 20474.7
616000 20470.1
618000 20467.3
620000 20470.8
622000 20471.8
624000 20471.1
626000 20467.6
628000 20475.1
630000 20477
632000 20476.9
634000 20474.8
636000 20473.6
638000 20477.2
640000 20478.1
642000 20479.2
644000 20478.8
646000 20477.3
648000 20472.8
650000 20475
652000 20477.5
654000 20479.5
656000 20478.5
658000 20478.1
660000 20474.2
662000 20475.1
664000 20477.2
666000 20482.6
668000 20479.3
670000 20479.7
672000 20473.4
674000 20471
676000 20479.3
678000 20484.2
680000 20486.3
682000 20483.6
684000 20481.2
686000 20478.3
688000 20478.9
690000 20481.8
692000 20479.1
694000 20482.8
696000 20479.4
698000 20480.1
700000 20481.3
702000 20483.5
704000 20479.1
706000 20482.8
708000 20486.8
710000 20483.7
712000 20485.4
714000 20487
716000 20482.6
718000 20482.7
720000 20482.4
722000 20481
724000 20479.8
726000 20483.9
728000 20481.5
730000 20483.1
732000 20482.4
734000 20477.1
736000 20479.1
738000 20483.9
740000 20488.5
742000 20485.7
744000 20491.5
746000 20493.7
748000 20492.9
750000 20492.6
