# Time-averaged data for fix stress
# TimeStep c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
2000 34.097 -73.9041 -43.758 -99.0016 15.2039 85.5585
4000 62.9849 -98.2276 -402.147 -85.8488 -15.4364 98.3624
6000 8.3605 -119.81 -263.052 -51.2462 -1.21238 50.6124
8000 257.803 -85.701 31.4945 39.4128 -84.164 34.2267
10000 247.733 55.0174 118.56 -219.383 47.6526 -17.0658
12000 208.955 -77.1507 40.9554 -103.064 4.218 2.47176
14000 119.249 6.89021 -130.715 34.3621 63.1106 84.4473
16000 13.8704 123.755 -20.2944 -32.2266 15.5123 164.222
18000 -81.3681 126.805 24.9236 131.58 37.0225 223.641
20000 -215.386 -41.9295 147.718 45.2757 18.474 45.6849
22000 -113.253 50.3903 226.152 62.4598 32.9929 -35.943
24000 -32.1846 73.002 392.561 48.8601 89.5434 49.7756
26000 84.2913 93.3023 116.684 -7.43334 62.4189 -41.0245
28000 34.6507 -98.7642 -27.2657 53.8983 182.084 -77.1062
30000 64.2959 -11.6584 71.8645 21.3857 126.75 0.0279289
32000 -117.567 -124.853 -6.69385 51.9511 112.644 34.1667
34000 -191.654 -255.824 -244.721 127.382 139.859 20.7959
36000 -205.07 -253.775 -85.9153 -47.9519 -37.305 17.6512
38000 -316.038 -283.244 -103.457 -120.735 19.9387 -124.345
40000 -225.553 -135.86 -128.189 -80.4087 -36.0302 104.96
42000 -145.294 -222.166 -173.618 -12.396 3.68897 33.1876
44000 -233.496 -317.83 23.6282 -14.1484 -83.8321 25.4066
46000 -210.222 -385.3 -166.297 18.7316 -21.167 143.256
48000 -118.635 -205.976 -182.994 -115.745 -27.5903 -31.9454
50000 -268.553 -199.803 -524.677 -195.995 -165.51 -173.859
52000 -351.19 -117.941 -433.77 -23.1796 -77.9765 -152.394
54000 -251.293 -203.56 -405.059 64.0053 38.7578 -78.496
56000 -60.0655 -89.0073 -155.584 3.46494 69.7414 -43.7979
58000 -108.201 -59.2238 -8.58778 -16.6358 130.613 -12.8039
60000 -46.9245 5.04478 -40.4049 -33.168 -47.2096 -56.0543
62000 29.8401 98.3177 49.5917 37.7125 -129.038 -37.4651
64000 45.9231 84.0068 3.42189 -32.4491 73.5826 51.022
66000 107.095 382.348 190.402 9.36992 38.9989 50.4824
68000 148.46 191.531 -46.1744 45.8595 34.6585 -43.0385
70000 57.3178 84.2778 -300.093 15.9129 46.8571 -72.577
72000 155.518 4.72842 -97.5017 43.7194 -63.9861 -0.479698
74000 -117.172 54.5339 -234.661 55.8911 -39.5293 33.8884
76000 88.4299 -68.5725 -228.52 67.2392 42.6401 24.7936
78000 49.6066 -112.935 -262.34 -0.505152 90.6528 8.10264
80000 35.909 -122.403 -326.255 28.7036 10.6356 92.4596
82000 -261.117 -172.451 -308.77 57.7299 -3.92554 9.99047
84000 -53.0292 14.629 52.1927 0.352903 74.6929 102.035
86000 -92.4209 154.24 -31.1318 -77.3562 52.4456 87.2466
88000 -83.2957 31.0729 -138.66 -106.017 -25.8014 13.9391
90000 -204.859 -339.786 -236.927 -21.2557 23.8564 -71.1254
92000 -119.705 -174.83 -271.894 26.0907 -70.8889 -11.2015
94000 201.396 191.334 168.46 85.6322 53.0669 -47.7825
96000 79.4549 155.994 211.506 87.6691 70.2939 -51.0886
98000 151.035 176.52 275.698 45.2818 -12.8399 20.7286
100000 435.666 241.144 329.655 35.7065 23.234 -148.607
102000 373.928 -14.923 317.981 119.673 39.5667 -151.798
104000 139.392 -196.702 12.2516 133.057 0.740679 -108.226
106000 127.493 -203.993 -39.7325 94.5358 122.751 15.158
108000 -28.5312 -206.11 -87.3317 57.5262 17.1441 197.789
110000 10.7062 -166.708 -65.0037 -68.5359 22.2828 -144.277
112000 -146.613 -269.482 -35.033 55.6649 11.4149 -25.0904
114000 -50.4718 -324.581 -196.662 -31.6539 77.4686 -93.4893
116000 24.3184 -102.862 -85.3647 -108.705 -7.81948 -174.258
118000 -23.6175 -274.197 -19.3879 46.5158 -28.9325 71.5638
120000 34.6924 -206.534 271.317 51.5903 -57.0622 108.556
122000 -115.286 -337.436 39.5369 93.4067 -33.7978 -13.16
124000 143.18 67.3692 127.949 12.991 102.747 -12.5074
126000 -6.53359 -93.458 11.0055 -31.4517 12.0662 -55.5316
128000 14.5817 -187.089 4.99341 -168.14 8.99573 107.346
130000 33.4628 102.814 98.5006 -74.4819 53.8287 113.715
132000 -10.694 266.798 169.514 30.3249 -2.63279 17.9934
134000 -56.642 96.0447 -139.347 31.4854 -80.1877 1.75397
136000 -233.66 -154.778 -345.347 -5.79519 -121.489 -29.2753
138000 -197.067 -163.608 -290.163 -73.0225 -50.2956 -93.157
140000 135.828 -87.4048 106.02 -30.1085 -108.125 -5.71805
142000 -49.3955 -174.023 -231.235 -39.9678 37.8079 32.4017
144000 178.388 -5.3634 -126.569 68.4245 -15.5491 -36.5945
146000 128.385 -95.3463 -264.11 47.7897 10.9044 8.17434
148000 -54.9701 -173.213 -150.064 33.0446 56.0734 -36.0932
150000 -141.65 -214.291 -355.662 -96.3851 -5.00714 46.083
152000 140.634 225.212 36.3088 -17.9727 81.6074 55.1014
154000 206.094 144.156 126.961 41.8859 45.021 47.3494
156000 130.868 295.905 121.302 154.815 27.7448 4.31501
158000 130.638 291.515 218.831 151.475 51.5753 43.8082
160000 163.293 85.4708 143.491 29.6155 0.777241 -24.4588
162000 -285.182 -60.8391 -150.048 -37.9693 -65.8111 -96.6623
164000 -74.1345 -78.9877 50.0929 -23.9704 -6.05976 -111.15
166000 -14.6928 -225.748 -199.276 -149.571 -81.1976 25.1347
168000 54.4867 -185.413 -144.374 -118.592 28.558 54.9348
170000 -145.426 -330.618 -298.749 -212.145 112.961 -60.994
172000 -54.3128 -33.4695 -254.64 -135.014 -122.106 -40.8095
174000 -145.421 -16.1793 -269.497 -43.8065 -143.991 -4.65413
176000 -50.7999 -120.077 -341.648 13.1825 59.5472 54.2704
178000 106.547 -227.885 -237.402 -3.96188 208.866 78.0915
180000 134.401 -48.756 200.503 -87.8167 11.4716 -40.0162
182000 241.768 123.363 82.2867 10.7171 44.1722 -58.249
184000 -92.8084 -271.086 -185.072 5.64515 -12.2491 -36.0457
186000 -102.024 -119.004 41.6586 -47.1993 114.864 18.9125
188000 -52.1645 -232.859 52.0065 -66.505 47.2567 -55.5911
190000 112.711 -145.079 138.698 -153.75 27.026 0.32684
192000 43.818 88.1795 25.0488 6.9975 38.9868 -95.63
194000 19.8252 269.541 124.155 29.4089 59.1634 -200.154
196000 -47.5287 30.0171 -3.61484 -6.11047 78.7122 -167.578
198000 -74.8864 39.0183 134.948 9.9163 7.93093 -80.0585
200000 163.785 -93.8297 119.654 46.2517 -135.82 -49.3914
202000 180.734 -162.279 -9.02682 -26.9776 -187.349 -7.04702
204000 67.8544 -93.523 92.6604 -109.297 -139.246 53.2278
206000 57.9816 -92.7074 100.277 -131.873 -143.129 -28.8967
208000 135.827 64.1581 -72.2582 -161.053 -77.1099 -60.4794
210000 -282.184 -340.551 -237.058 -73.2234 -82.7128 104.605
212000 -285.888 -231.027 -146.324 -46.4169 -45.6507 84.0616
214000 -338.928 -176.662 -271.087 29.1352 127.552 189.009
216000 -313.759 -178.389 -135.524 -63.738 153.398 24.155
218000 -129.601 -43.4968 -147.021 -100.764 37.4154 76.2085
220000 147.369 54.0134 -17.0675 -32.0761 5.99338 112.946
222000 -42.0206 -182.94 -214.109 109.158 63.4464 99.3135
224000 -224.852 -15.2673 -213.704 77.4353 59.2946 46.988
226000 -164.731 137.289 -70.7338 -98.8287 63.4762 84.4769
228000 -27.1988 -10.5394 87.5269 -87.5221 -2.31066 -2.2391
230000 -19.4757 15.8733 -203.615 59.4325 67.9014 -90.08
232000 59.7069 -66.8592 -62.5577 -29.8953 50.0209 -39.3776
234000 215.54 -53.9138 48.0657 -124.452 26.4738 -33.1346
236000 1.75622 -114.919 -105.785 -41.8973 85.2367 -56.8922
238000 19.1509 78.3271 56.7588 -123.098 48.2638 -12.3736
240000 221.356 117.869 -49.756 17.4438 103.816 -23.8403
242000 254.208 -48.1349 -168.636 48.8437 123.155 -28.6843
244000 2.37965 48.4435 -298.333 24.9818 67.8224 -117.782
246000 -2.43852 -66.4795 -254.587 44.1226 36.2687 -28.8951
248000 -34.6173 -33.3621 -212.169 -15.3334 -72.4121 -15.3452
250000 -31.746 -3.92771 -124.132 80.3942 -1.45347 -126.164
252000 39.7882 -80.7988 -195.801 140.248 -3.08195 40.2951
254000 -110.768 -106.165 -196.936 100.018 80.6396 90.1355
256000 36.5622 145.929 143.968 86.8496 130.64 -114.694
258000 -27.976 109.708 183.899 168.635 -21.3709 -63.0981
260000 -314.772 -501.601 -71.977 89.9172 87.2155 -41.0635
262000 -182.586 -179.116 3.95741 177.095 100.711 -45.5416
264000 -161.385 -292.757 -268.832 55.9492 61.7745 25.0166
266000 -276.794 -233.632 -408.426 77.3806 27.038 70.8297
268000 -206.729 -63.4243 -356.395 24.8617 -39.4261 32.913
270000 -60.598 -19.7898 -234.655 -73.2265 24.5609 45.0342
272000 -193.497 -53.1451 -305.41 -78.5507 111.459 24.547
274000 -254.464 20.0284 -179.483 -162.936 41.224 -40.8927
276000 -302.055 -64.4966 -180.818 -82.3224 -60.963 -8.89716
278000 -181.849 -206.957 -27.4234 -0.606931 -72.8381 2.353
280000 -303.473 -4.86752 -35.7734 -54.459 18.9735 100.609
282000 -259.132 -56.6236 -108.309 -3.83841 -12.8163 5.32893
284000 -223.843 74.7717 -201.645 -40.4611 -84.0849 -46.4112
286000 -196.804 -53.8126 -187.65 -101.928 13.3607 18.6719
288000 -436.473 -300.324 -101.809 -77.2258 -21.6563 91.6406
290000 -365.823 -197.785 -45.1678 16.7834 41.7856 72.8604
292000 -373.922 -278.487 -191.218 54.1131 -27.55 75.5944
294000 1.00049 -105.938 37.5365 68.2212 14.4787 50.9607
296000 -40.5377 40.4083 174.539 82.9821 50.9533 -9.50218
298000 -21.8563 -116.126 -14.6648 47.4779 -64.9767 115.286
300000 -83.8076 -125.342 -205.567 163.423 22.2043 113.053
302000 -133.677 117.203 -168.273 147.948 85.7111 -26.1577
304000 -7.81071 62.5478 9.13755 176.997 83.7543 44.0055
306000 -227.715 -212.56 -236.089 131.682 38.9919 42.8174
308000 -163.935 -169.611 -28.8088 96.1541 56.5644 40.4043
310000 -434.672 -146.142 -105.126 102.009 131.415 -60.6731
312000 -273.71 -132.404 -2.68964 -30.5864 -53.4904 -155.591
314000 -248.615 -87.9395 -173.702 12.5157 -81.9555 -3.54409
316000 -334.254 -103.695 -11.486 -97.6547 128.202 32.7301
318000 23.7799 55.655 -109.579 -258.125 109.33 57.6141
320000 69.4793 -41.2308 -104.142 -89.4297 93.8855 87.7547
322000 177.779 141.596 215.39 6.50666 -86.5051 90.7261
324000 134.61 102.56 170.499 38.3621 -42.5821 162.286
326000 -133.765 -86.5998 12.8349 -27.0225 -57.1061 4.74155
328000 128.74 71.3655 158.896 18.3846 -79.3571 73.5067
330000 200.134 181.45 -12.5426 16.0636 -72.7118 -67.6335
332000 270.523 151.985 -7.00503 57.5779 44.8274 -55.487
334000 125.934 -104.015 19.8336 166.935 0.367416 47.1632
336000 -212.601 -251.776 -227.343 194.407 -67.6158 -114.729
338000 156.005 -99.0353 24.0863 46.4132 -1.87256 -87.8073
340000 7.33149 -164.579 31.1649 87.9517 1.81018 -106.156
342000 97.2717 -89.0241 -301.095 -26.8183 56.9054 -10.304
344000 -60.5799 -114.254 -284.826 -18.2843 28.9127 48.8478
346000 13.9705 145.721 -26.8526 83.7921 9.20325 19.7875
348000 94.884 164.625 183.67 -64.9032 158.015 85.4972
350000 27.3263 284.586 83.6984 -10.5616 66.2009 -14.3878
352000 8.81876 297.694 186.844 -104.403 76.1999 -102.969
354000 -83.3903 116.669 41.9294 -0.197893 11.8619 -84.2662
356000 -232.454 -254.569 -108.863 -24.7098 25.3084 -61.9382
358000 -259.33 -251.989 -93.2343 -51.6997 36.7316 -24.3879
360000 -44.8621 27.3996 -3.92168 -14.6475 20.0331 -10.3546
362000 70.3297 92.2186 -16.8831 -38.6454 -95.759 -43.4327
364000 -30.0289 62.8529 -38.1775 -100.387 -86.482 -42.1212
366000 -7.90988 -13.7841 198.31 -88.0608 -77.4225 -149.7
368000 -205.578 -146.724 102.501 -88.7845 -92.817 -196.214
370000 -209.673 -62.6046 -4.69154 -171.975 -88.5491 -86.0867
372000 -116.633 -74.4054 -309.057 -97.6198 -71.4626 -166.769
374000 -113.811 -54.1486 -110.735 -99.7495 -86.4799 -27.9888
376000 -176.895 77.6609 -120.657 -84.864 -86.8449 -29.5737
378000 -168.406 248.108 -235.973 -180.436 -84.5089 8.21058
380000 158.468 147.598 97.1018 -79.2104 29.3351 19.2729
382000 31.1019 163.707 103.513 -92.6675 -35.0093 69.3145
384000 24.5072 163.922 184.787 -124.293 15.7359 48.1261
386000 -30.6254 -5.21613 24.3924 -57.2751 -12.7549 -26.8849
388000 -263.66 -49.5253 -149.835 154.161 -11.5792 50.7704
390000 -174.354 -54.7866 -31.4932 -62.6661 13.2381 77.0037
392000 -173.977 -49.3889 25.1057 -79.045 -52.7291 46.0538
394000 -13.1099 137.382 226.842 36.3655 -163.265 4.77463
396000 104.591 -63.9131 99.5378 8.52535 -38.365 -61.9812
398000 300.512 20.8795 -7.76314 2.48743 -15.7396 -45.0078
400000 -77.1667 -223.943 -118.011 74.9248 0.0460931 -121.937
402000 -141.522 -361.075 -177.586 39.7389 -0.213981 -153.858
404000 106.145 -235.169 -145.188 9.54729 31.7167 -95.2999
406000 86.1555 -122.412 211.709 -74.6553 -41.1381 60.215
408000 40.1208 -197.735 93.8222 -49.956 -17.2772 27.9412
410000 216.141 -33.8764 182.252 -18.2379 -20.409 208.146
412000 50.6332 -95.4006 339.369 27.7445 -46.337 1.65418
414000 76.7494 -201.328 234.298 -20.8126 -41.6287 -104.805
416000 28.4478 144.902 126.689 -100.347 18.5875 -45.5417
418000 -186.486 -61.8909 -155.024 -106.926 125.547 -52.6476
420000 -154.158 -133.562 -199.902 -194.116 26.9844 67.9518
422000 -91.9429 159.673 -160.74 -77.6966 -5.39945 186.232
424000 135.407 187.25 -35.9848 -97.7309 -63.4749 71.5627
426000 203.86 81.3682 -132.893 -68.6094 92.0442 166.988
428000 174.824 -51.4862 21.8514 16.6711 37.1331 185.442
430000 -136.531 -153.276 -31.216 -59.6015 -163.975 -36.7001
432000 -73.6657 97.6448 69.5028 -107.859 -14.0932 -105.92
434000 59.1405 84.1916 86.6847 -43.9189 139.701 -177.207
436000 35.9377 114.835 105.117 -43.8848 140.209 -114.029
438000 -5.81228 -177.153 -60.7424 -16.9676 124.112 -122.471
440000 -83.9916 276.199 57.2669 -77.6951 96.3999 -58.2163
442000 -294.632 -216.525 -145.448 -67.6236 62.4624 64.0078
444000 -307.196 -38.833 17.5065 -35.5024 -44.2893 -10.7831
446000 -46.12 249.644 175.102 9.90782 -75.3413 18.1181
448000 -53.5632 -200.912 -42.4257 7.80277 -55.7091 31.5937
450000 -41.6504 -261.51 -215.342 53.4543 -7.64754 0.39162
452000 -220.533 -234.266 -312.195 133.612 -101.444 22.3058
454000 -244.938 -40.1631 -206.775 58.8771 -26.5578 54.8322
456000 31.7985 -27.9973 -159.543 29.2793 -53.7555 84.6561
458000 -24.8108 29.1175 -164.03 156.78 21.8185 -88.6829
460000 -170.7 -167.161 -222.901 155.231 -84.4669 34.8331
462000 -214.209 -127.076 -213.445 110.758 -38.7449 34.5976
464000 316.7 9.12624 -7.77415 56.4735 -100.579 -0.279028
466000 123.191 -141.266 -249.335 -54.5201 -69.822 -47.1791
