# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c2_RDF[1] c2_RDF[2] c2_RDF[3]
50000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 4.48888e-05 1.26316e-05
37 0.851667 0.0028521 0.000861053
38 0.875 0.0731022 0.0238147
39 0.898333 0.645065 0.237307
40 0.921667 2.2986 1.03809
41 0.945 4.28193 2.60631
42 0.968333 5.15188 4.58745
43 0.991667 4.67534 6.47303
44 1.015 3.57167 7.98208
45 1.03833 2.51197 9.09275
46 1.06167 1.72115 9.88835
47 1.085 1.20032 10.4678
48 1.10833 0.863208 10.9027
49 1.13167 0.654856 11.2466
50 1.155 0.526529 11.5347
51 1.17833 0.44536 11.7883
52 1.20167 0.393227 12.0212
53 1.225 0.362058 12.244
54 1.24833 0.346374 12.4653
55 1.27167 0.343202 12.693
56 1.295 0.352744 12.9356
57 1.31833 0.368378 13.1981
58 1.34167 0.396227 13.4906
59 1.365 0.43279 13.8213
60 1.38833 0.469117 14.1921
61 1.41167 0.505691 14.6054
62 1.435 0.536769 15.0587
63 1.45833 0.564492 15.551
64 1.48167 0.594249 16.086
65 1.505 0.631295 16.6724
66 1.52833 0.683123 17.3268
67 1.55167 0.758149 18.0754
68 1.575 0.864407 18.9548
69 1.59833 1.00106 20.0035
70 1.62167 1.15838 21.2528
71 1.645 1.32291 22.7209
72 1.66833 1.47386 24.4032
73 1.69167 1.58036 26.2579
74 1.715 1.62201 28.2144
75 1.73833 1.59502 30.191
76 1.76167 1.51032 32.1132
77 1.785 1.40363 33.9473
78 1.80833 1.31313 35.7082
79 1.83167 1.25734 37.4382
80 1.855 1.25246 39.2056
81 1.87833 1.27902 41.0562
82 1.90167 1.29854 42.982
83 1.925 1.28466 44.9342
84 1.94833 1.22267 46.8376
85 1.97167 1.12738 48.6349
86 1.995 1.0106 50.2844
87 2.01833 0.901232 51.79
88 2.04167 0.800801 53.1589
89 2.065 0.720831 54.4194
90 2.08833 0.664349 55.6076
91 2.11167 0.628402 56.7567
92 2.135 0.609988 57.897
93 2.15833 0.60821 59.0589
94 2.18167 0.617165 60.2636
95 2.205 0.641067 61.5418
96 2.22833 0.673702 62.9137
97 2.25167 0.710072 64.39
98 2.275 0.755958 65.9945
99 2.29833 0.804423 67.7371
100 2.32167 0.859815 69.6377
101 2.345 0.919314 71.7109
102 2.36833 0.980486 73.9662
103 2.39167 1.0454 76.4185
104 2.415 1.10685 79.0658
105 2.43833 1.15889 81.8914
106 2.46167 1.2046 84.8849
107 2.485 1.23737 88.0185
108 2.50833 1.26022 91.2701
109 2.53167 1.27509 94.6216
110 2.555 1.28372 98.0582
111 2.57833 1.28394 101.559
112 2.60167 1.27237 105.09
113 2.625 1.25249 108.63
114 2.64833 1.21775 112.132
115 2.67167 1.17304 115.566
116 2.695 1.11987 118.901
117 2.71833 1.06385 122.125
118 2.74167 1.01223 125.246
119 2.765 0.969966 128.287
120 2.78833 0.9383 131.278
121 2.81167 0.915587 134.247
122 2.835 0.903474 137.224
123 2.85833 0.890936 140.21
124 2.88167 0.880103 143.207
125 2.905 0.867868 146.21
126 2.92833 0.852831 149.209
127 2.95167 0.838713 152.206
128 2.975 0.825475 155.202
129 2.99833 0.816045 158.211
130 3.02167 0.814503 161.26
131 3.045 0.82124 164.383
132 3.06833 0.834706 167.606
133 3.09167 0.856828 170.964
134 3.115 0.888746 174.501
135 3.13833 0.925013 178.237
136 3.16167 0.967276 182.202
137 3.185 1.01067 186.407
138 3.20833 1.05243 190.849
139 3.23167 1.09072 195.521
140 3.255 1.1219 200.395
141 3.27833 1.14571 205.445
142 3.30167 1.15947 210.628
143 3.325 1.16426 215.907
144 3.34833 1.16189 221.249
145 3.37167 1.15358 226.627
146 3.395 1.14168 232.023
147 3.41833 1.12658 237.422
148 3.44167 1.11138 242.82
149 3.465 1.09414 248.207
150 3.48833 1.07368 253.565
