# Time-averaged data for fix myat2
# TimeStep v_Ntype2in v_Ntype2ou
0 119 357
1000 97 379
2000 84 392
3000 72 404
4000 64 412
5000 52 424
6000 44 432
7000 37 439
8000 27 449
9000 19 457
10000 12 464
11000 7 469
12000 6 470
13000 9 467
14000 15 461
15000 22 454
16000 26 450
17000 35 441
18000 44 432
19000 51 425
20000 57 419
21000 67 409
22000 74 402
23000 76 400
24000 79 397
25000 79 397
26000 72 404
27000 67 409
28000 58 418
29000 49 427
30000 40 436
31000 34 442
32000 26 450
33000 19 457
34000 12 464
35000 10 466
36000 8 468
37000 8 468
38000 14 462
39000 20 456
40000 25 451
41000 32 444
42000 39 437
43000 48 428
44000 54 422
45000 63 413
46000 69 407
47000 71 405
48000 73 403
49000 72 404
50000 68 408
51000 64 412
52000 54 422
53000 47 429
54000 38 438
55000 30 446
56000 25 451
57000 15 461
58000 12 464
59000 11 465
60000 11 465
61000 10 466
62000 15 461
63000 18 458
64000 26 450
65000 33 443
66000 36 440
67000 46 430
68000 52 424
69000 57 419
70000 63 413
71000 66 410
72000 66 410
73000 66 410
74000 60 416
75000 59 417
76000 49 427
77000 44 432
78000 38 438
79000 32 444
80000 22 454
81000 19 457
82000 16 460
83000 11 465
84000 12 464
85000 14 462
86000 20 456
87000 25 451
88000 29 447
89000 34 442
90000 42 434
91000 49 427
92000 54 422
93000 57 419
94000 62 414
95000 64 412
96000 66 410
97000 63 413
98000 60 416
99000 58 418
100000 51 425
101000 43 433
102000 38 438
103000 30 446
104000 25 451
105000 16 460
106000 14 462
107000 11 465
108000 11 465
109000 9 467
110000 15 461
111000 21 455
112000 25 451
113000 31 445
114000 36 440
115000 43 433
116000 50 426
117000 55 421
118000 54 422
119000 56 420
120000 57 419
121000 55 421
122000 55 421
123000 54 422
124000 47 429
125000 41 435
126000 37 439
127000 32 444
128000 26 450
129000 19 457
130000 18 458
131000 17 459
132000 16 460
133000 16 460
134000 18 458
135000 21 455
136000 26 450
137000 31 445
138000 36 440
139000 41 435
140000 47 429
141000 51 425
142000 56 420
143000 59 417
144000 61 415
145000 65 411
146000 64 412
147000 59 417
148000 54 422
149000 48 428
150000 39 437
151000 34 442
152000 27 449
153000 22 454
154000 16 460
155000 15 461
156000 12 464
157000 11 465
158000 17 459
159000 19 457
160000 27 449
161000 30 446
162000 38 438
163000 43 433
164000 50 426
165000 54 422
166000 58 418
167000 56 420
168000 58 418
169000 55 421
170000 54 422
171000 51 425
172000 50 426
173000 42 434
174000 39 437
175000 34 442
176000 29 447
177000 22 454
178000 23 453
179000 24 452
180000 22 454
181000 22 454
182000 23 453
183000 27 449
184000 31 445
185000 37 439
186000 41 435
187000 48 428
188000 52 424
189000 57 419
190000 56 420
191000 55 421
192000 59 417
193000 57 419
194000 53 423
195000 51 425
196000 45 431
197000 44 432
198000 35 441
199000 32 444
200000 27 449
201000 20 456
202000 16 460
203000 12 464
204000 12 464
205000 14 462
206000 16 460
207000 23 453
208000 30 446
209000 36 440
210000 41 435
211000 45 431
212000 52 424
213000 52 424
214000 55 421
215000 55 421
216000 56 420
217000 55 421
218000 54 422
219000 50 426
220000 45 431
221000 42 434
222000 35 441
223000 31 445
224000 28 448
225000 24 452
226000 23 453
227000 22 454
228000 23 453
229000 22 454
230000 24 452
231000 26 450
232000 29 447
233000 34 442
234000 37 439
235000 41 435
236000 47 429
237000 51 425
238000 55 421
239000 55 421
240000 55 421
241000 55 421
242000 55 421
243000 52 424
244000 46 430
245000 44 432
246000 38 438
247000 34 442
248000 26 450
249000 22 454
250000 18 458
251000 14 462
252000 14 462
253000 15 461
254000 15 461
255000 20 456
256000 27 449
257000 32 444
258000 37 439
259000 43 433
260000 47 429
261000 51 425
262000 51 425
263000 50 426
264000 50 426
265000 48 428
266000 47 429
267000 46 430
268000 44 432
269000 42 434
270000 37 439
271000 34 442
272000 28 448
273000 28 448
274000 26 450
275000 24 452
276000 26 450
277000 25 451
278000 24 452
279000 28 448
280000 29 447
281000 33 443
282000 39 437
283000 44 432
284000 46 430
285000 46 430
286000 51 425
287000 54 422
288000 58 418
289000 50 426
290000 50 426
291000 49 427
292000 42 434
293000 42 434
294000 37 439
295000 30 446
296000 25 451
297000 19 457
298000 15 461
299000 16 460
300000 17 459
301000 19 457
302000 24 452
303000 25 451
304000 27 449
305000 31 445
306000 40 436
307000 42 434
308000 44 432
309000 47 429
310000 50 426
311000 51 425
312000 51 425
313000 50 426
314000 50 426
315000 47 429
316000 43 433
317000 39 437
318000 37 439
319000 33 443
320000 29 447
321000 25 451
322000 27 449
323000 23 453
324000 22 454
325000 24 452
326000 21 455
327000 25 451
328000 29 447
329000 31 445
330000 37 439
331000 38 438
332000 44 432
333000 48 428
334000 51 425
335000 47 429
336000 48 428
337000 51 425
338000 48 428
339000 41 435
340000 38 438
341000 34 442
342000 31 445
343000 26 450
344000 21 455
345000 16 460
346000 16 460
347000 13 463
348000 15 461
349000 16 460
350000 17 459
351000 22 454
352000 29 447
353000 33 443
354000 36 440
355000 41 435
356000 43 433
357000 48 428
358000 45 431
359000 46 430
360000 47 429
361000 49 427
362000 47 429
363000 43 433
364000 43 433
365000 38 438
366000 38 438
367000 33 443
368000 27 449
369000 25 451
370000 25 451
371000 23 453
372000 22 454
373000 23 453
374000 26 450
375000 24 452
376000 25 451
377000 33 443
378000 32 444
379000 35 441
380000 41 435
381000 44 432
382000 43 433
383000 44 432
384000 47 429
385000 42 434
386000 40 436
387000 40 436
388000 38 438
389000 34 442
390000 29 447
391000 24 452
392000 20 456
393000 18 458
394000 18 458
395000 18 458
396000 18 458
397000 22 454
398000 24 452
399000 28 448
400000 31 445
401000 32 444
402000 36 440
403000 39 437
404000 40 436
405000 43 433
406000 44 432
407000 40 436
408000 41 435
409000 41 435
410000 44 432
411000 41 435
412000 35 441
413000 35 441
414000 33 443
415000 32 444
416000 28 448
417000 26 450
418000 24 452
419000 24 452
420000 23 453
421000 25 451
422000 24 452
423000 27 449
424000 29 447
425000 35 441
426000 36 440
427000 38 438
428000 39 437
429000 38 438
430000 42 434
431000 48 428
432000 48 428
433000 46 430
434000 42 434
435000 39 437
436000 38 438
437000 35 441
438000 30 446
439000 29 447
440000 22 454
441000 19 457
442000 14 462
443000 15 461
444000 16 460
445000 15 461
446000 20 456
447000 23 453
448000 28 448
449000 30 446
450000 33 443
451000 36 440
452000 37 439
453000 41 435
454000 40 436
455000 40 436
456000 39 437
457000 42 434
458000 40 436
459000 39 437
460000 41 435
461000 39 437
462000 36 440
463000 33 443
464000 30 446
465000 25 451
466000 24 452
467000 23 453
468000 24 452
469000 23 453
470000 22 454
471000 24 452
472000 25 451
473000 26 450
474000 31 445
475000 36 440
476000 36 440
477000 39 437
478000 43 433
479000 46 430
480000 44 432
481000 45 431
482000 42 434
483000 40 436
484000 40 436
485000 40 436
486000 35 441
487000 31 445
488000 26 450
489000 23 453
490000 20 456
491000 19 457
492000 18 458
493000 16 460
494000 18 458
495000 20 456
496000 23 453
497000 28 448
498000 31 445
499000 33 443
500000 39 437
501000 39 437
502000 40 436
503000 41 435
504000 43 433
505000 41 435
506000 37 439
507000 38 438
508000 34 442
509000 31 445
510000 35 441
511000 29 447
512000 27 449
513000 25 451
514000 25 451
515000 22 454
516000 23 453
517000 23 453
518000 22 454
519000 25 451
520000 24 452
521000 27 449
522000 33 443
523000 35 441
524000 37 439
525000 39 437
526000 38 438
527000 39 437
528000 39 437
529000 41 435
530000 40 436
531000 40 436
532000 39 437
533000 33 443
534000 33 443
535000 31 445
536000 26 450
537000 21 455
538000 19 457
539000 18 458
540000 17 459
541000 20 456
542000 20 456
543000 21 455
544000 25 451
545000 25 451
546000 28 448
547000 32 444
548000 35 441
549000 39 437
550000 38 438
551000 38 438
552000 41 435
553000 38 438
554000 37 439
555000 35 441
556000 37 439
557000 35 441
558000 32 444
559000 31 445
560000 31 445
561000 30 446
562000 29 447
563000 31 445
564000 27 449
565000 25 451
566000 26 450
567000 27 449
568000 29 447
569000 31 445
570000 32 444
571000 31 445
572000 36 440
573000 40 436
574000 38 438
575000 39 437
576000 40 436
577000 39 437
578000 38 438
579000 39 437
580000 36 440
581000 32 444
582000 33 443
583000 29 447
584000 24 452
585000 22 454
586000 20 456
587000 22 454
588000 20 456
589000 21 455
590000 19 457
591000 22 454
592000 21 455
593000 26 450
594000 31 445
595000 32 444
596000 36 440
597000 36 440
598000 36 440
599000 37 439
600000 40 436
