# Time-averaged data for fix myat3
# TimeStep v_position_piston_left
0 -77.7827
1000 -76.5326
2000 -72.8658
3000 -69.6614
4000 -68.936
5000 -68.439
6000 -68.0987
7000 -67.704
8000 -67.413
9000 -67.1195
10000 -66.8827
11000 -66.7314
12000 -66.6016
13000 -66.349
14000 -66.0627
15000 -65.9036
16000 -65.6508
17000 -65.3923
18000 -65.1833
19000 -65.0099
20000 -64.7956
21000 -64.5719
22000 -64.3507
23000 -64.2263
24000 -64.065
25000 -63.9305
26000 -63.7928
27000 -63.6639
28000 -63.5122
29000 -63.411
30000 -63.2217
31000 -63.0209
32000 -62.8808
33000 -62.7209
34000 -62.5873
35000 -62.4992
36000 -62.3068
37000 -62.1458
38000 -61.9655
39000 -61.8149
40000 -61.7514
41000 -61.601
42000 -61.5433
43000 -61.3499
44000 -61.2719
45000 -61.1094
46000 -61.1093
47000 -61.0705
48000 -61.0204
49000 -60.9038
50000 -60.746
51000 -60.6617
52000 -60.5935
53000 -60.5471
54000 -60.4492
55000 -60.3665
56000 -60.2519
57000 -60.0405
58000 -59.9359
59000 -59.768
60000 -59.7709
61000 -59.5658
62000 -59.4144
63000 -59.3495
64000 -59.2774
65000 -59.2386
66000 -59.1547
67000 -58.9846
68000 -58.8967
69000 -58.8752
70000 -58.7849
71000 -58.7025
72000 -58.658
73000 -58.6542
74000 -58.5579
75000 -58.4579
76000 -58.3926
77000 -58.3037
78000 -58.115
79000 -57.9955
80000 -57.8985
81000 -57.8372
82000 -57.7366
83000 -57.6445
84000 -57.6148
85000 -57.5321
86000 -57.3973
87000 -57.3468
88000 -57.3871
89000 -57.3559
90000 -57.2713
91000 -57.2109
92000 -57.1664
93000 -57.0669
94000 -56.9566
95000 -56.8182
96000 -56.7551
97000 -56.5864
98000 -56.5234
99000 -56.467
100000 -56.4587
