# Time-averaged data for fix myat4
# TimeStep v_position_piston_right
0 76.989
1000 75.7412
2000 72.2993
3000 68.887
4000 67.174
5000 66.159
6000 65.2182
7000 64.4337
8000 63.8275
9000 63.1109
10000 62.5417
11000 62.0113
12000 61.5653
13000 61.0813
14000 60.574
15000 60.0763
16000 59.5401
17000 59.1284
18000 58.703
19000 58.2455
20000 57.8097
21000 57.3581
22000 56.9372
23000 56.5589
24000 56.2367
25000 55.9507
26000 55.5965
27000 55.3238
28000 54.9848
29000 54.6974
30000 54.4156
31000 54.1109
32000 53.7653
33000 53.5051
34000 53.2357
35000 53.0101
36000 52.7677
37000 52.4646
38000 52.209
39000 51.9065
40000 51.6216
41000 51.3833
42000 51.0225
43000 50.7693
44000 50.5009
45000 50.2528
46000 49.973
47000 49.7435
48000 49.4958
49000 49.2378
50000 49.051
51000 48.8706
52000 48.6206
53000 48.4123
54000 48.2148
55000 47.9817
56000 47.7343
57000 47.4166
58000 47.1822
59000 46.9312
60000 46.7148
61000 46.4613
62000 46.2739
63000 46.0573
64000 45.8316
65000 45.5857
66000 45.3963
67000 45.1934
68000 45.0095
69000 44.7897
70000 44.5274
71000 44.3871
72000 44.2471
73000 44.0351
74000 43.8383
75000 43.6143
76000 43.4242
77000 43.2192
78000 43.0019
79000 42.8574
80000 42.6721
81000 42.5348
82000 42.329
83000 42.2191
84000 41.9856
85000 41.7945
86000 41.5443
87000 41.3693
88000 41.2229
89000 41.0549
90000 40.8442
91000 40.6737
92000 40.5375
93000 40.3764
94000 40.1787
95000 40.0012
96000 39.8695
97000 39.6991
98000 39.5379
99000 39.3145
100000 39.182
