# Time-averaged data for fix myat2
# TimeStep v_solute_right
0 500
1000 500
2000 500
3000 500
4000 500
5000 500
6000 500
7000 500
8000 500
9000 500
10000 500
11000 500
12000 500
13000 500
14000 500
15000 500
16000 500
17000 500
18000 500
19000 500
20000 500
21000 500
22000 500
23000 500
24000 500
25000 500
26000 500
27000 500
28000 500
29000 500
30000 500
31000 500
32000 500
33000 500
34000 500
35000 500
36000 500
37000 500
38000 500
39000 500
40000 500
41000 500
42000 500
43000 500
44000 500
45000 500
46000 500
47000 500
48000 500
49000 500
50000 500
51000 500
52000 500
53000 500
54000 500
55000 500
56000 500
57000 500
58000 500
59000 500
60000 500
61000 500
62000 500
63000 500
64000 500
65000 500
66000 500
67000 500
68000 500
69000 500
70000 500
71000 500
72000 500
73000 500
74000 500
75000 500
76000 500
77000 500
78000 500
79000 500
80000 500
81000 500
82000 500
83000 500
84000 500
85000 500
86000 500
87000 500
88000 500
89000 500
90000 500
91000 500
92000 500
93000 500
94000 500
95000 500
96000 500
97000 500
98000 500
99000 500
100000 500
