# Time-averaged data for fix myat5
# TimeStep f_mysf1[1]
10000 -6.05543
20000 2.92837
30000 1.52198
40000 2.74774
50000 -2.0708
60000 -1.58911
70000 1.30046
80000 -2.61901
90000 -3.4337
100000 -1.3766
110000 1.13648
120000 -5.76675
130000 1.02781
140000 -10.3875
150000 0.625003
160000 -6.6528
170000 0.274624
180000 -0.409374
190000 -1.54091
200000 3.6791
210000 -1.64809
220000 -2.08201
230000 -4.23863
240000 1.36981
250000 -0.333434
260000 1.25733
270000 -0.0341023
280000 -1.57278
290000 -0.787617
300000 -4.77772
310000 -0.317419
320000 3.47848
330000 -0.0522743
340000 -5.07066
350000 -3.37881
360000 -0.994264
370000 -0.480305
380000 1.52173
390000 -0.490554
400000 3.68415
410000 0.660686
420000 -3.44011
430000 -4.90543
440000 2.70827
450000 3.27451
460000 -0.467356
470000 0.699335
480000 0.701045
490000 -1.43699
500000 -3.93363
510000 2.17697
520000 2.52991
530000 0.639633
540000 -2.04953
550000 -4.29073
560000 -3.55446
570000 -5.88399
580000 -3.18382
590000 1.13586
600000 -2.80554
610000 3.02634
620000 1.43541
630000 1.00781
640000 -1.89436
650000 -9.4827
660000 -4.4343
670000 -2.22765
680000 -7.83179
690000 0.832676
700000 3.13375
710000 -2.65371
720000 2.37961
730000 -5.93172
740000 -2.50965
750000 1.98695
760000 2.03315
770000 -3.21884
780000 -3.44285
790000 -0.159609
800000 -1.26791
810000 -1.03399
820000 -1.3011
830000 -0.368102
840000 -2.8746
850000 2.90716
860000 -4.31636
870000 -3.6015
880000 0.108436
890000 -5.9063
900000 0.830886
910000 -3.78324
920000 4.86903
930000 0.937376
940000 3.00563
950000 -2.1964
960000 -3.81384
970000 -2.50053
980000 2.22923
990000 -0.391135
1000000 -5.68879
1010000 3.1412
1020000 -0.161783
1030000 1.7408
1040000 2.16621
1050000 -3.63944
1060000 -1.24583
1070000 -2.14423
1080000 3.28786
1090000 4.71109
1100000 -0.407619
1110000 -3.98594
1120000 1.90416
1130000 4.44612
1140000 2.04576
1150000 -1.19366
1160000 6.81052
1170000 -2.89846
1180000 2.77204
1190000 -0.980336
1200000 3.39649
1210000 4.28162
1220000 0.0661153
1230000 1.5247
1240000 -6.0647
1250000 -5.12198
1260000 -0.00133565
1270000 5.64742
1280000 6.11953
1290000 -0.662135
1300000 -0.351974
1310000 1.63896
