# Time-averaged data for fix myat3
# TimeStep v_position_piston_left
0 -56.4587
10000 -57.0642
20000 -57.6998
30000 -58.3889
40000 -59.1456
50000 -59.9258
60000 -60.7574
70000 -61.6275
80000 -62.4236
90000 -63.2394
100000 -64.1826
110000 -64.9054
120000 -65.7552
130000 -66.3995
140000 -67.1642
150000 -67.6664
160000 -68.3062
170000 -68.2596
180000 -69.3535
190000 -69.9667
200000 -71.2583
210000 -71.5086
220000 -72.4708
230000 -72.587
240000 -72.7539
250000 -72.6829
260000 -73.2812
270000 -73.8495
280000 -74.0907
290000 -75.1217
300000 -75.7223
310000 -75.7043
320000 -76.4881
330000 -76.6006
340000 -77.1474
350000 -77.3639
360000 -78.0532
370000 -78.0852
380000 -78.3606
390000 -78.3951
400000 -78.6813
410000 -79.4487
420000 -79.8757
430000 -80.2023
440000 -80.2581
450000 -80.0501
460000 -81.0888
470000 -81.4443
480000 -81.2633
490000 -81.2677
500000 -81.3314
510000 -81.94
520000 -82.1166
530000 -81.998
540000 -82.6833
550000 -82.367
560000 -82.34
570000 -82.5897
580000 -83.0522
590000 -83.7197
600000 -84.0046
610000 -84.0701
620000 -84.2995
630000 -84.2233
640000 -84.4059
650000 -85.1344
660000 -85.1766
670000 -85.1656
680000 -85.739
690000 -86.2379
700000 -86.3085
710000 -86.4112
720000 -86.0921
730000 -86.3027
740000 -86.2466
750000 -86.1603
760000 -86.2587
770000 -86.8742
780000 -87.2753
790000 -86.7737
800000 -87.5204
810000 -88.1134
820000 -87.9075
830000 -88.4237
840000 -88.4151
850000 -88.8029
860000 -89.5518
870000 -90.0555
880000 -89.6745
890000 -89.588
900000 -89.461
910000 -89.5253
920000 -89.5554
930000 -89.672
940000 -90.0785
950000 -90.5116
960000 -90.236
970000 -90.5923
980000 -90.8823
990000 -91.1547
1000000 -91.0744
1010000 -91.2121
1020000 -91.3803
1030000 -91.7027
1040000 -91.8851
1050000 -92.0601
1060000 -92.1449
1070000 -92.3331
1080000 -92.3457
1090000 -92.4756
1100000 -93.2299
1110000 -93.4203
1120000 -93.0682
1130000 -93.4303
1140000 -92.9116
1150000 -93.4093
1160000 -93.6086
1170000 -93.3158
1180000 -93.4681
1190000 -94.1953
1200000 -93.3775
1210000 -94.119
1220000 -93.9672
1230000 -94.632
1240000 -94.6233
1250000 -94.9236
1260000 -95.435
1270000 -95.9661
1280000 -96.2627
1290000 -96.2825
1300000 -96.4408
1310000 -96.601
1320000 -96.8444
1330000 -97.0391
1340000 -97.7702
1350000 -97.5787
1360000 -98.0525
1370000 -98.3312
1380000 -98.2222
1390000 -98.4925
1400000 -98.8948
1410000 -98.0819
1420000 -97.7833
1430000 -98.3156
1440000 -97.997
1450000 -98.4365
1460000 -97.8842
1470000 -97.1967
1480000 -97.7924
1490000 -97.8807
1500000 -97.7931
1510000 -98.0463
1520000 -98.015
1530000 -97.8232
1540000 -98.0596
1550000 -98.396
1560000 -99.1126
1570000 -99.8222
1580000 -100.792
1590000 -100.592
1600000 -100.497
1610000 -101.373
1620000 -101.022
1630000 -100.653
1640000 -101.478
1650000 -101.221
1660000 -100.914
1670000 -100.911
1680000 -100.846
1690000 -100.918
1700000 -101.44
1710000 -101.502
1720000 -101.479
1730000 -101.156
1740000 -101.122
1750000 -101.433
1760000 -101.236
1770000 -100.865
1780000 -101.307
1790000 -101.336
1800000 -100.736
1810000 -100.592
1820000 -101.391
1830000 -101.599
1840000 -102.121
1850000 -102.78
1860000 -102.539
1870000 -102.437
1880000 -102.975
1890000 -102.624
1900000 -102.637
1910000 -103.231
1920000 -102.774
1930000 -102.91
1940000 -102.771
1950000 -103.06
1960000 -102.558
1970000 -102.711
1980000 -103.085
1990000 -103.27
2000000 -103.639
2010000 -103.906
2020000 -103.829
2030000 -104.165
2040000 -104.205
2050000 -104.501
2060000 -104.683
2070000 -104.974
2080000 -105.475
2090000 -105.52
2100000 -105.555
2110000 -105.555
2120000 -105.766
2130000 -105.976
2140000 -105.939
2150000 -106.09
2160000 -105.873
2170000 -105.617
2180000 -106.634
2190000 -106.476
2200000 -106.467
2210000 -106.822
2220000 -106.792
2230000 -106.707
2240000 -106.436
2250000 -106.929
2260000 -106.514
2270000 -106.809
2280000 -107.142
2290000 -107.304
2300000 -107.399
2310000 -107.792
2320000 -108.376
2330000 -108.027
2340000 -107.93
2350000 -108.455
2360000 -108.957
2370000 -108.995
2380000 -109.732
2390000 -109.734
2400000 -109.866
2410000 -109.667
2420000 -109.388
2430000 -109.412
2440000 -109.416
2450000 -109.348
2460000 -109.479
2470000 -109.611
2480000 -110.282
2490000 -109.941
2500000 -110.131
2510000 -110.012
2520000 -110.444
2530000 -110.388
2540000 -110.146
2550000 -110.327
2560000 -109.951
2570000 -109.91
2580000 -110.021
2590000 -109.892
2600000 -109.924
2610000 -110.13
2620000 -110.307
2630000 -110.898
2640000 -110.51
2650000 -110.58
2660000 -110.739
2670000 -110.163
2680000 -110.162
2690000 -110.031
2700000 -110.024
2710000 -110.739
2720000 -111.223
2730000 -111.493
2740000 -111.132
2750000 -111.173
2760000 -111.303
2770000 -110.665
2780000 -111.059
2790000 -111.367
2800000 -111.471
2810000 -111.323
2820000 -111.302
2830000 -110.621
2840000 -111.067
2850000 -111.423
2860000 -111.579
2870000 -111.383
2880000 -111.087
2890000 -111.519
2900000 -111.315
2910000 -110.973
2920000 -111.702
2930000 -112.478
2940000 -112.871
2950000 -112.419
2960000 -111.953
2970000 -111.936
2980000 -112.122
2990000 -111.537
3000000 -111.936
3010000 -111.63
3020000 -111.818
3030000 -112.244
3040000 -112.374
3050000 -112.653
3060000 -112.277
3070000 -112.327
3080000 -112.693
3090000 -112.135
3100000 -112.685
3110000 -112.361
3120000 -112.325
3130000 -113.239
3140000 -112.916
3150000 -113.083
3160000 -113.509
3170000 -113.679
3180000 -113.572
3190000 -113.891
3200000 -113.471
3210000 -113.951
3220000 -114.663
3230000 -113.982
3240000 -113.349
3250000 -113.479
3260000 -114.383
3270000 -115.291
3280000 -114.595
3290000 -114.721
3300000 -115.009
3310000 -114.947
3320000 -114.518
3330000 -114.754
3340000 -114.907
3350000 -114.928
3360000 -115.366
3370000 -115.112
3380000 -114.965
3390000 -115.065
3400000 -115.783
3410000 -116.2
3420000 -116.361
3430000 -115.988
3440000 -115.827
3450000 -115.396
3460000 -115.627
3470000 -116.382
3480000 -116.408
3490000 -116.776
3500000 -116.582
3510000 -115.994
3520000 -115.622
3530000 -115.644
3540000 -115.749
3550000 -115.531
3560000 -115.656
3570000 -116.023
3580000 -116.259
3590000 -116.155
3600000 -116.281
3610000 -116.097
3620000 -115.439
3630000 -115.687
3640000 -116.027
3650000 -116.297
3660000 -116.901
3670000 -117.384
3680000 -116.34
3690000 -116.287
3700000 -116.067
3710000 -116.452
3720000 -116.284
3730000 -116.369
3740000 -116.169
3750000 -116.542
3760000 -116.368
3770000 -116.176
3780000 -116.606
3790000 -116.57
3800000 -116.714
3810000 -117.452
3820000 -117.475
3830000 -117.54
3840000 -117.525
3850000 -117.98
3860000 -118.216
3870000 -118.146
3880000 -118.392
3890000 -117.846
3900000 -118.308
3910000 -118.377
3920000 -118.254
3930000 -118.637
3940000 -119.554
3950000 -119.024
3960000 -119.27
3970000 -119.168
3980000 -119.381
3990000 -119.508
4000000 -119.325
