# Time-averaged data for fix myat2
# TimeStep v_solute_right
0 500
10000 499
20000 497
30000 494
40000 495
50000 492
60000 491
70000 491
80000 491
90000 489
100000 489
110000 490
120000 489
130000 486
140000 486
150000 484
160000 481
170000 476
180000 471
190000 467
200000 469
210000 468
220000 467
230000 460
240000 458
250000 456
260000 449
270000 448
280000 448
290000 445
300000 446
310000 446
320000 443
330000 447
340000 440
350000 436
360000 438
370000 434
380000 432
390000 428
400000 433
410000 430
420000 428
430000 427
440000 427
450000 426
460000 425
470000 423
480000 421
490000 420
500000 422
510000 421
520000 420
530000 420
540000 420
550000 418
560000 415
570000 408
580000 409
590000 405
600000 407
610000 404
620000 406
630000 407
640000 406
650000 403
660000 405
670000 401
680000 400
690000 398
700000 402
710000 398
720000 400
730000 398
740000 397
750000 397
760000 395
770000 397
780000 393
790000 397
800000 395
810000 394
820000 395
830000 389
840000 391
850000 389
860000 393
870000 391
880000 389
890000 387
900000 388
910000 387
920000 384
930000 385
940000 388
950000 381
960000 380
970000 380
980000 381
990000 376
1000000 376
1010000 378
1020000 375
1030000 380
1040000 377
1050000 377
1060000 377
1070000 377
1080000 371
1090000 370
1100000 367
1110000 366
1120000 366
1130000 369
1140000 368
1150000 364
1160000 365
1170000 364
1180000 365
1190000 363
1200000 362
1210000 361
1220000 361
1230000 359
1240000 358
1250000 356
1260000 354
1270000 352
1280000 350
1290000 353
1300000 353
1310000 353
1320000 354
1330000 353
1340000 358
1350000 354
1360000 350
1370000 352
1380000 353
1390000 354
1400000 350
1410000 352
1420000 356
1430000 357
1440000 354
1450000 356
1460000 355
1470000 355
1480000 352
1490000 355
1500000 350
1510000 350
1520000 350
1530000 353
1540000 350
1550000 350
1560000 351
1570000 352
1580000 351
1590000 353
1600000 353
1610000 350
1620000 350
1630000 346
1640000 351
1650000 351
1660000 352
1670000 349
1680000 348
1690000 349
1700000 347
1710000 348
1720000 345
1730000 349
1740000 348
1750000 348
1760000 347
1770000 344
1780000 341
1790000 339
1800000 343
1810000 340
1820000 340
1830000 338
1840000 341
1850000 339
1860000 340
1870000 339
1880000 338
1890000 334
1900000 335
1910000 332
1920000 331
1930000 330
1940000 329
1950000 336
1960000 333
1970000 335
1980000 336
1990000 335
2000000 329
2010000 332
2020000 330
2030000 331
2040000 328
2050000 330
2060000 330
2070000 331
2080000 331
2090000 334
2100000 333
2110000 335
2120000 334
2130000 330
2140000 331
2150000 329
2160000 331
2170000 329
2180000 328
2190000 327
2200000 329
2210000 323
2220000 325
2230000 325
2240000 323
2250000 323
2260000 321
2270000 321
2280000 322
2290000 322
2300000 326
2310000 328
2320000 322
2330000 321
2340000 323
2350000 321
2360000 322
2370000 319
2380000 320
2390000 318
2400000 316
2410000 311
2420000 312
2430000 315
2440000 317
2450000 317
2460000 321
2470000 316
2480000 317
2490000 320
2500000 321
2510000 321
2520000 319
2530000 318
2540000 320
2550000 317
2560000 321
2570000 321
2580000 319
2590000 319
2600000 320
2610000 317
2620000 316
2630000 318
2640000 321
2650000 320
2660000 320
2670000 318
2680000 319
2690000 317
2700000 315
2710000 316
2720000 318
2730000 314
2740000 318
2750000 315
2760000 314
2770000 313
2780000 313
2790000 313
2800000 312
2810000 312
2820000 312
2830000 313
2840000 312
2850000 309
2860000 305
2870000 306
2880000 305
2890000 308
2900000 307
2910000 305
2920000 304
2930000 305
2940000 309
2950000 308
2960000 307
2970000 309
2980000 305
2990000 308
3000000 308
3010000 305
3020000 304
3030000 302
3040000 302
3050000 302
3060000 302
3070000 303
3080000 298
3090000 297
3100000 300
3110000 299
3120000 300
3130000 299
3140000 301
3150000 302
3160000 300
3170000 300
3180000 299
3190000 296
3200000 298
3210000 297
3220000 301
3230000 297
3240000 298
3250000 296
3260000 300
3270000 298
3280000 299
3290000 295
3300000 295
3310000 296
3320000 298
3330000 296
3340000 296
3350000 296
3360000 295
3370000 294
3380000 296
3390000 293
3400000 291
3410000 292
3420000 289
3430000 292
3440000 293
3450000 296
3460000 294
3470000 294
3480000 299
3490000 296
3500000 298
3510000 300
3520000 301
3530000 302
3540000 303
3550000 303
3560000 300
3570000 298
3580000 298
3590000 301
3600000 302
3610000 299
3620000 303
3630000 298
3640000 299
3650000 304
3660000 301
3670000 299
3680000 297
3690000 297
3700000 298
3710000 297
3720000 303
3730000 302
3740000 299
3750000 297
3760000 300
3770000 297
3780000 295
3790000 291
3800000 296
3810000 290
3820000 291
3830000 293
3840000 294
3850000 292
3860000 293
3870000 293
3880000 297
3890000 298
3900000 297
3910000 293
3920000 292
3930000 294
3940000 290
3950000 290
3960000 290
3970000 290
3980000 290
3990000 289
4000000 291
