# Time-averaged data for fix myat1
# TimeStep v_solvent_right
0 4500
10000 4509
20000 4522
30000 4511
40000 4537
50000 4541
60000 4529
70000 4537
80000 4555
90000 4542
100000 4527
110000 4546
120000 4547
130000 4541
140000 4530
150000 4532
160000 4545
170000 4548
180000 4568
190000 4560
200000 4585
210000 4584
220000 4577
230000 4564
240000 4569
250000 4561
260000 4558
270000 4568
280000 4564
290000 4556
300000 4541
310000 4529
320000 4545
330000 4534
340000 4532
350000 4558
360000 4553
370000 4561
380000 4568
390000 4577
400000 4547
410000 4552
420000 4546
430000 4547
440000 4556
450000 4551
460000 4565
470000 4540
480000 4532
490000 4539
500000 4521
510000 4530
520000 4503
530000 4504
540000 4508
550000 4495
560000 4514
570000 4521
580000 4517
590000 4503
600000 4510
610000 4506
620000 4508
630000 4527
640000 4535
650000 4514
660000 4522
670000 4530
680000 4515
690000 4506
700000 4518
710000 4536
720000 4507
730000 4511
740000 4496
750000 4476
760000 4481
770000 4494
780000 4504
790000 4499
800000 4503
810000 4491
820000 4506
830000 4510
840000 4512
850000 4515
860000 4530
870000 4536
880000 4518
890000 4524
900000 4490
910000 4505
920000 4519
930000 4498
940000 4502
950000 4502
960000 4509
970000 4490
980000 4483
990000 4505
1000000 4534
1010000 4516
1020000 4490
1030000 4498
1040000 4504
1050000 4484
1060000 4469
1070000 4455
1080000 4463
1090000 4461
1100000 4485
1110000 4492
1120000 4490
1130000 4467
1140000 4475
1150000 4464
1160000 4467
1170000 4436
1180000 4433
1190000 4460
1200000 4470
1210000 4474
1220000 4459
1230000 4451
1240000 4464
1250000 4474
1260000 4472
1270000 4499
1280000 4494
1290000 4485
1300000 4475
1310000 4480
1320000 4479
1330000 4484
1340000 4482
1350000 4479
1360000 4493
1370000 4498
1380000 4511
1390000 4507
1400000 4503
1410000 4497
1420000 4484
1430000 4500
1440000 4506
1450000 4486
1460000 4498
1470000 4480
1480000 4464
1490000 4454
1500000 4448
1510000 4465
1520000 4467
1530000 4450
1540000 4438
1550000 4433
1560000 4438
1570000 4443
1580000 4427
1590000 4422
1600000 4436
1610000 4445
1620000 4438
1630000 4410
1640000 4429
1650000 4430
1660000 4430
1670000 4431
1680000 4443
1690000 4426
1700000 4415
1710000 4397
1720000 4404
1730000 4407
1740000 4390
1750000 4414
1760000 4397
1770000 4392
1780000 4425
1790000 4409
1800000 4423
1810000 4398
1820000 4407
1830000 4416
1840000 4409
1850000 4436
1860000 4437
1870000 4435
1880000 4416
1890000 4415
1900000 4407
1910000 4439
1920000 4420
1930000 4401
1940000 4405
1950000 4404
1960000 4406
1970000 4390
1980000 4405
1990000 4410
2000000 4418
2010000 4426
2020000 4440
2030000 4437
2040000 4425
2050000 4414
2060000 4418
2070000 4438
2080000 4417
2090000 4405
2100000 4411
2110000 4382
2120000 4403
2130000 4383
2140000 4399
2150000 4405
2160000 4404
2170000 4414
2180000 4405
2190000 4404
2200000 4435
2210000 4434
2220000 4415
2230000 4411
2240000 4413
2250000 4410
2260000 4392
2270000 4416
2280000 4415
2290000 4396
2300000 4372
2310000 4395
2320000 4416
2330000 4404
2340000 4417
2350000 4390
2360000 4419
2370000 4427
2380000 4413
2390000 4434
2400000 4441
2410000 4417
2420000 4427
2430000 4428
2440000 4428
2450000 4429
2460000 4427
2470000 4442
2480000 4422
2490000 4450
2500000 4422
2510000 4425
2520000 4418
2530000 4434
2540000 4432
2550000 4421
2560000 4442
2570000 4425
2580000 4436
2590000 4443
2600000 4461
2610000 4440
2620000 4467
2630000 4469
2640000 4469
2650000 4462
2660000 4445
2670000 4452
2680000 4462
2690000 4466
2700000 4462
2710000 4450
2720000 4444
2730000 4462
2740000 4452
2750000 4434
2760000 4437
2770000 4442
2780000 4460
2790000 4434
2800000 4441
2810000 4444
2820000 4427
2830000 4430
2840000 4436
2850000 4425
2860000 4421
2870000 4420
2880000 4411
2890000 4426
2900000 4398
2910000 4428
2920000 4428
2930000 4425
2940000 4420
2950000 4427
2960000 4404
2970000 4419
2980000 4417
2990000 4407
3000000 4432
3010000 4418
3020000 4409
3030000 4419
3040000 4408
3050000 4426
3060000 4408
3070000 4404
3080000 4385
3090000 4396
3100000 4398
3110000 4380
3120000 4377
3130000 4407
3140000 4389
3150000 4398
3160000 4390
3170000 4362
3180000 4399
3190000 4364
3200000 4378
3210000 4396
3220000 4375
3230000 4364
3240000 4366
3250000 4395
3260000 4393
3270000 4374
3280000 4376
3290000 4403
3300000 4386
3310000 4382
3320000 4379
3330000 4378
3340000 4387
3350000 4382
3360000 4367
3370000 4361
3380000 4359
3390000 4357
3400000 4370
3410000 4324
3420000 4359
3430000 4373
3440000 4385
3450000 4381
3460000 4384
3470000 4385
3480000 4357
3490000 4366
3500000 4351
3510000 4351
3520000 4352
3530000 4361
3540000 4357
3550000 4366
3560000 4379
3570000 4363
3580000 4362
3590000 4367
3600000 4355
3610000 4334
3620000 4339
3630000 4331
3640000 4352
3650000 4342
3660000 4336
3670000 4363
3680000 4322
3690000 4327
3700000 4317
3710000 4317
3720000 4311
3730000 4298
3740000 4316
3750000 4331
3760000 4279
3770000 4298
3780000 4257
3790000 4267
3800000 4264
3810000 4257
3820000 4252
3830000 4256
3840000 4258
3850000 4257
3860000 4269
3870000 4273
3880000 4282
3890000 4293
3900000 4291
3910000 4285
3920000 4293
3930000 4281
3940000 4314
3950000 4300
3960000 4304
3970000 4303
3980000 4290
3990000 4293
4000000 4292
